race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,12:15 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",1,Able Choices,Able Choices,Able Choices,5,Blake Ryan,Jay Ford,58kg,$6,false
1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,12:15 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",3,Viva Macaco,Viva Macaco,Viva Macaco,4,Brad Widdup,Tom Sherry,58kg,$5,false
1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,12:15 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",4,Iambubb,Iambubb,Iambubb,9,Mitchell & Desiree Kearney,Jeff Penza,56.5kg,$91,false
1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,12:15 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",5,Essay,Essay,Essay,10,Richard Collett,Alysha Collett,56kg,$2,false
1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,12:15 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",7,Miss Moulaga,Miss Moulaga,Miss Moulaga,3,Edward Cummings,Keagan Latham,56kg,$151,false
1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,12:15 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",8,Silly Sausage,Silly Sausage,Silly Sausage,6,Matthew Smith,Braith Nock,56kg,$23,false
1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,12:15 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",9,Jaipur Maison,Jaipur Maison,Jaipur Maison,2,Chris Waller,Siena Grima (a-2),55.5kg,$3.8,false
1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,12:15 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",10,Machrihanish,Machrihanish,Machrihanish,8,Richard & Will Freedman,Ashley Morgan,55.5kg,$16,false
1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,12:15 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",2,The Diplomat,The Diplomat,The Diplomat,1,Annabel & Rob Archibald,Dylan Gibbons,58kg,SCR,true
1,12:15 pm Family Funday 19 July 2yo Maiden Handicap,12:15 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",6,Jabal Shada,Jabal Shada,Jabal Shada,7,Chris Waller,Tyler Schiller,56kg,SCR,true
2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,12:50 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",2,Spare,Spare,Spare,7,Jason Attard,Rory Hutchings,59kg,$4.4,false
2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,12:50 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",3,Avalon,Avalon,Avalon,9,Kim Waugh,Jay Ford,57kg,$5,false
2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,12:50 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",4,Gimme A Yes,Gimme A Yes,Gimme A Yes,4,Stephen O'Halloran,Ellen Hennessy,57kg,$71,false
2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,12:50 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",5,I Am Hearts,I Am Hearts,I Am Hearts,8,Sara Ryan,Reece Jones,57kg,$10,false
2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,12:50 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",6,Our Lady Peace,Our Lady Peace,Our Lady Peace,1,Gary Portelli,Alysha Collett,56kg,$2,false
2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,12:50 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",7,Terra Lumina,Terra Lumina,Terra Lumina,3,Jason Coyle,Mitchell Bell,56kg,$5,false
2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,12:50 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",8,Lucky Monkey,Lucky Monkey,Lucky Monkey,5,Karen Outtrim,Jeff Penza,55kg,$151,false
2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,12:50 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",9,Run The Red Light,Run The Red Light,Run The Red Light,2,Wayne Austin,Siena Grima (a-2),55kg,$51,false
2,12:50 pm Essential Asset & Fire Midway 3yo&up Maiden Handicap,12:50 pm,1000m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",1,Creator Of World,Creator Of World,Creator Of World,6,Ross McConville,Brock Ryan,59kg,SCR,true
3,1:25 pm St Johns Park Bowling Club Maiden Plate,1:25 pm,1600m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",1,Cool Rupert,Cool Rupert,Cool Rupert,6,Matthew Smith,Jay Ford,59kg,$7,false
3,1:25 pm St Johns Park Bowling Club Maiden Plate,1:25 pm,1600m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",2,Hard Shell,Hard Shell,Hard Shell,8,Ross McConville,Chad Lever,59kg,$15,false
3,1:25 pm St Johns Park Bowling Club Maiden Plate,1:25 pm,1600m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",3,Master Of War,Master Of War,Master Of War,7,Matthew Smith,Tyler Schiller,59kg,$4.4,false
3,1:25 pm St Johns Park Bowling Club Maiden Plate,1:25 pm,1600m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",4,Ruskana,Ruskana,Ruskana,4,Gai Waterhouse & Adrian Bott,Adam Hyeronimus,59kg,$8,false
3,1:25 pm St Johns Park Bowling Club Maiden Plate,1:25 pm,1600m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",5,Still Rising,Still Rising,Still Rising,1,Denim Wynen,Mollie Fitzgerald,59kg,$34,false
3,1:25 pm St Johns Park Bowling Club Maiden Plate,1:25 pm,1600m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",6,Wizard's Star,Wizard's Star,Wizard's Star,5,Edward Cummings,Ashley Morgan,59kg,$17,false
3,1:25 pm St Johns Park Bowling Club Maiden Plate,1:25 pm,1600m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",7,Zaddicted,Zaddicted,Zaddicted,9,Claire Lever,Mitchell Bell,59kg,$151,false
3,1:25 pm St Johns Park Bowling Club Maiden Plate,1:25 pm,1600m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",9,Pink Persuasion,Pink Persuasion,Pink Persuasion,3,Chris Waller,Kerrin McEvoy,57kg,$1.8,false
3,1:25 pm St Johns Park Bowling Club Maiden Plate,1:25 pm,1600m,Hawkesbury,Maiden,Soft 7,"+4m 1100m - 450m, True remainder",10,Room For Pudd,Room For Pudd,Room For Pudd,2,Brad Widdup,Alysha Collett,57kg,$31,false
