race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Canterbury,1,1:25 pm Captivant @ Vinery Stud Handicap,1200m,Handicap,Soft 6,+2m Entire,Fine,5.31,Going Stick - 9.1; Shear - 12,1,1,Threads,Threads,Threads,4,Ciaron Maher,Sam Clipperton,$8.5,5.3,racenet
R1,Canterbury,1,1:25 pm Captivant @ Vinery Stud Handicap,1200m,Handicap,Soft 6,+2m Entire,Fine,5.31,Going Stick - 9.1; Shear - 12,2,2,Lorax,Lorax,Lorax,5,Chris Waller,James McDonald,$2.05,8.3,racenet
R1,Canterbury,1,1:25 pm Captivant @ Vinery Stud Handicap,1200m,Handicap,Soft 6,+2m Entire,Fine,5.31,Going Stick - 9.1; Shear - 12,3,3,Cantero,Cantero,Cantero,7,"Michael, John & Wayne Hawkes",Tyler Schiller,$8,NA,racenet
R1,Canterbury,1,1:25 pm Captivant @ Vinery Stud Handicap,1200m,Handicap,Soft 6,+2m Entire,Fine,5.31,Going Stick - 9.1; Shear - 12,5,5,Onthetoe,Onthetoe,Onthetoe,1,Gai Waterhouse & Adrian Bott,Regan Bayliss,$10,NA,racenet
R1,Canterbury,1,1:25 pm Captivant @ Vinery Stud Handicap,1200m,Handicap,Soft 6,+2m Entire,Fine,5.31,Going Stick - 9.1; Shear - 12,7,7,Savagram,Savagram,Savagram,3,Gai Waterhouse & Adrian Bott,Tim Clark,$3.2,NA,racenet
R1,Canterbury,1,1:25 pm Captivant @ Vinery Stud Handicap,1200m,Handicap,Soft 6,+2m Entire,Fine,5.31,Going Stick - 9.1; Shear - 12,8,8,Spring Ruler,Spring Ruler,Spring Ruler,2,Clarry Conners,Rachel King,$41,4.7,racenet
R1,Canterbury,1,1:25 pm Captivant @ Vinery Stud Handicap,1200m,Handicap,Soft 6,+2m Entire,Fine,5.31,Going Stick - 9.1; Shear - 12,9,9,Devil Dancer,Devil Dancer,Devil Dancer,6,Jarrod Austin,Alysha Collett,$126,2,racenet
R2,Canterbury,2,2:00 pm Tab Handicap,1200m,Handicap,Soft 6,+2m Entire,Fine,5.31,Going Stick - 9.1; Shear - 12,1,1,Wanda's Spark,Wanda's Spark,Wanda's Spark,3,Michael Freedman,Tommy Berry,$2.1,3,racenet
R2,Canterbury,2,2:00 pm Tab Handicap,1200m,Handicap,Soft 6,+2m Entire,Fine,5.31,Going Stick - 9.1; Shear - 12,2,2,Sing Your Song,Sing Your Song,Sing Your Song,4,Chris Waller,James McDonald,$4,8,racenet
R2,Canterbury,2,2:00 pm Tab Handicap,1200m,Handicap,Soft 6,+2m Entire,Fine,5.31,Going Stick - 9.1; Shear - 12,3,3,Affari,Affari,Affari,5,Chris Waller,Sam Clipperton,$8.5,6.7,racenet
