race_no,no,horse,w_ir
1,1,audit,5.7
2,9,holy hell,4.5
2,12,hammett,4.9
2,17,caledonian,5.9
2,10,shezain,7
2,14,maples,7
3,8,free and fast,3.3
3,10,all star,5.5
3,4,swift legend,6.2
3,2,iceman,7.6
4,3,sir les,1.3
4,7,jarrito,3.2
4,2,albany road,5.7
6,5,engine room,6.8
6,8,rantan,8
7,5,les vampires,3.9
7,15,sacrify,4.2
9,15,substantial,4.7
9,16,until valhalla,5.8
9,8,coco jamboo,9.3
10,4,bella corazon,6.3
10,8,full hao,7.5
