race_no,race_name,distance,no,horse,barrier,trainer,jockey,weight,odds,scratched
4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,4,Rach dso,5,Chris Waller,Jason Collett,58kg,$4.6,false
4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,5,Mane Character (HT),1,Nacim Dilmi,Reece Jones,57kg,$10,false
4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,6,Shoutaboutit s(HT),6,Kristen Buchanan,Jay Ford,57kg,$11,false
4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,7,Grassburn,8,Matthew Robinson,Anna Roper,56kg,$19,false
4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,8,Sunday Punch ds,10,Cheryl Grouse,Winona Costin,56kg,$91,false
4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,9,Maggie Sparkles dsh,2,Paul Kelly,Kacie Adams,55.5kg,$26,false
4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,11,Steely Girl ds,4,Neil Godbolt,Jeff Penza,55kg,$21,false
4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,3,Call Me Sassy b,9,David Pfieffer,Kerrin McEvoy,59kg,SCR,true
4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,10,Queen Bess s,11,Kylie Gavenlock,Mollie Fitzgerald (a-1.5),55.5kg,SCR,true
5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,1,Skycatcher dshb,2,Mick Price & Michael Kent Jnr,William Stanley (a-2),62.5kg,$2.6,false
5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,2,Botanist d,6,Chris Waller,Siena Grima (a-2),61kg,$5.5,false
5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,3,A Pound Of Salt dsh,3,Todd Howlett,Rory Hutchings,60kg,$23,false
5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,4,Written Gold tcdbo,9,Gerald Ryan & Sterling Alexiou,Tom Sherry,59.5kg,$5.5,false
5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,6,Fierceness s,1,Matthew Smith,Ashley Morgan,58kg,$10,false
5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,8,Toomuchinformation sh,4,Lyndall Olson,Anna Roper,55.5kg,$6,false
5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,9,Bonus Tempus tcds,5,Brett Lazzarini,Jessica Taylor,55kg,$14,false
5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,10,He's Godspeed ds,8,Brett Lazzarini,Teighan Worsnop,55kg,$17,false
5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,11,Dreymon d,10,Alan D Smith,Leeshelle Small (a-3),55kg,$46,false
5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,5,Gemologist ho,7,Mark Minervini,Dylan Gibbons,58.5kg,SCR,true
