race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
2,1:10 pm Davali Thoroughbreds Maiden Plate,1:10 pm,1850m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",10,Dance With Destiny,Dance With Destiny,Dance With Destiny,7,John Sargent,Dylan Gibbons,56kg,SCR,true
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",1,Clanwilliam,Clanwilliam,Clanwilliam,6,David Payne,Zac Lloyd,59kg,$2.75,false
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",3,Flying Party,Flying Party,Flying Party,11,Ciaron Maher,Adam Farragher,59kg,$8,false
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",4,House Of Dragon,House Of Dragon,House Of Dragon,13,Chris Waller Siena,Grima A2 (a-2),59kg,$34,false
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",5,Nonno's Power,Nonno's Power,Nonno's Power,5,Joseph Pride,Chad Schofield,59kg,$11,false
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",6,Prince Tommy,Prince Tommy,Prince Tommy,9,Matthew Smith,Andrew Calder,59kg,$151,false
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",7,Solid,Solid,Solid,10,"Michael, John & Wayne Hawkes",Tyler Schiller,59kg,$5,false
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",8,Sur Nova Centauri,Sur Nova Centauri,Sur Nova Centauri,1,Richard Litt,Dylan Gibbons,59kg,$5.5,false
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",9,Titan Of Fury (HT) 12 Paul Perry William Stanley A1.,Titan Of Fury (HT) 12 Paul Perry William Stanley A1.,Titan Of Fury (HT) 12 Paul Perry William Stanley A1.,5,,(a-1.5),59kg,$13,false
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",10,British Gem,British Gem,British Gem,3,Kris Lees,Kerrin McEvoy,57kg,$17,false
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",11,Dawn Or Dusk,Dawn Or Dusk,Dawn Or Dusk,8,Matthew Smith,Jay Ford,57kg,$8,false
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",12,Gemtiki,Gemtiki,Gemtiki,7,Mark Minervini,Rory Hutchings,57kg,$151,false
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",2,Copartner Pegasus,Copartner Pegasus,Copartner Pegasus,4,Stephen O'Halloran,Keagan Latham,59kg,SCR,true
3,1:50 pm New Fm/2hd Maiden Plate,1:50 pm,1500m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",13,Second Deb,Second Deb,Second Deb,2,,John Steinmetz,57kg,SCR,true
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",3,Sir Phil,Sir Phil,Sir Phil,8,Brad Widdup,Tyler Schiller,59kg,$6.5,false
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",5,Special,Special,Special,14,Nacim Dilmi,Reece Jones,57kg,$16,false
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",7,Poshy's Girl,Poshy's Girl,Poshy's Girl,18,Kris Lees,Dylan Gibbons,57kg,$13,false
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",8,Reschs Milk,Reschs Milk,Reschs Milk,2,Kris Lees,Kerrin McEvoy,57kg,$3.1,false
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",9,G'day Ausbred,G'day Ausbred,G'day Ausbred,1,Blake Ryan,Chad Lever,56.5kg,$18,false
