dist_chg,form,gap,horse,jck,jck_last,last,n.start,name,no,pattern,race_no,rides,runners,trn,w_ir
-400,2/0/1,0.9,valentino prince,william a stanley,william a stanley(1/-2/Cls1) gosford/Sat/0.33/-0.58/Cls1,newcastle/Sat/0.58 (17/6),33,8.valentino prince(2),8,3.2/1.4 (-1.03) -2.0/6.4,1,1/4,1/5,p m perry,6.4
0,,0.7,titan of fury,william a stanley,william a stanley(7/4/Madn) newcastle/Thu/0.19/-1.36/Madn,newcastle/Sat/0.04 (17/6),7,9.titan of fury(11),9,-2.8/0.2 (-1.56) -1.0/2.7,3,2/4,2/5,p m perry,6.9
NA,,NA,extra special,reece jones,NA(NA/NA/NA) NA/NA/NA/NA/NA,NA/NA/NA (NA/NA),NA,5.extra special(13),5,NA/NA (NA) NA/NA,4,1/2,1/1,nacim dilmi,NA
38,1/0/0,,seven wonders,william a stanley,william a stanley(10/-6/Madn) muswellbrook/Mon/-0.30/-0.02/Madn,taree/Tue/-0.29 (14/5),5,19.seven wonders(5),19,-5.6/5.0 (-0.01) 4.0/1.8,4,3/4,3/5,p m perry,4.6
50,1/0/0,,dreymon,,leeshelle small(5/3/Bn64) quirindi/Tue/-0.63/-1.34/Bn58,wyong/Thu/-0.00 (12/4),25,17.dreymon(12),17,-0.4/5.4 (1.37) -4.6/3.2,5,9/14,1/1,a d smith,6.9
100,3/0/1,2.1,general soho,william a stanley,william a stanley(5/-4/Bn68) newcastle/Sat/-0.96/0.83/Bn68,newcastle/Thu/0.01 (26/13),69,1.general soho(4),1,1.0/1.3 (-1.15) -1.2/-0.2,6,4/4,4/5,p m perry,5.9
-50,1/0/0,,gemologist,,mollie fitzgerald(7/8/Cls1) warwick farm/Wed/1.01/-1.03/Bn64,newcastle/Thu/0.15 (26/2),6,20.gemologist(9),20,-1.0/8.4 (-0.49) -3.4/7.4,7,13/14,4/4,m s minervini,7.7
