race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R5,Bathurst,5,3:45 pm Happy Birthday Paul Thoebald Benchmark 58 Handicap,1100m,BM58,Heavy 9,True,3,3,Prorata,Prorata,Prorata,7,Gregory Hickman,Jacob Stiff (a-2),$2,7.9
R5,Bathurst,5,3:45 pm Happy Birthday Paul Thoebald Benchmark 58 Handicap,1100m,BM58,Heavy 9,True,5,5,Gidgee Guy,Gidgee Guy,Gidgee Guy,10,Richard Jackson Jean,Van Overmeire,$31,7.4
R5,Bathurst,5,3:45 pm Happy Birthday Paul Thoebald Benchmark 58 Handicap,1100m,BM58,Heavy 9,True,6,6,La Cache A Vin,La Cache A Vin,La Cache A Vin,1,Edward Cummings,Lee Magorrian,$8,5.9
R5,Bathurst,5,3:45 pm Happy Birthday Paul Thoebald Benchmark 58 Handicap,1100m,BM58,Heavy 9,True,9,9,Cheap,Cheap,Cheap,13,Gayna Williams,Clayton Gallagher,$7,6.5
R5,Bathurst,5,3:45 pm Happy Birthday Paul Thoebald Benchmark 58 Handicap,1100m,BM58,Heavy 9,True,11,11,Elderberry Wine,Elderberry Wine,Elderberry Wine,9,Alison Smith,Grant Buckley,$16,3.2
R5,Bathurst,5,3:45 pm Happy Birthday Paul Thoebald Benchmark 58 Handicap,1100m,BM58,Heavy 9,True,12,12,Xaphan,Xaphan,Xaphan,2,Brad Draper,Mikayla Weir,$41,7.4
R5,Bathurst,5,3:45 pm Happy Birthday Paul Thoebald Benchmark 58 Handicap,1100m,BM58,Heavy 9,True,13,13,Yael's Delight,Yael's Delight,Yael's Delight,11,Barry Wall,Jordan Quince (a-2),$51,2.7
R6,Bathurst,6,4:25 pm Dusty Hooves Media Country Boosted Class 2 Plate,1200m,Class 2,Heavy 9,True,4,4,Twin Gift,Twin Gift,Twin Gift,14,Brad Draper,Mikayla Weir,$34,7.5
R6,Bathurst,6,4:25 pm Dusty Hooves Media Country Boosted Class 2 Plate,1200m,Class 2,Heavy 9,True,7,7,Cool Space,Cool Space,Cool Space,3,Michael Mulholland,Jacob Stiff (a-2),$6.75,6.3
R6,Bathurst,6,4:25 pm Dusty Hooves Media Country Boosted Class 2 Plate,1200m,Class 2,Heavy 9,True,8,8,Giovanna Star,Giovanna Star,Giovanna Star,4,Dean Mirfin,Donovan Dillon,$16,8.1
R6,Bathurst,6,4:25 pm Dusty Hooves Media Country Boosted Class 2 Plate,1200m,Class 2,Heavy 9,True,10,10,Princess Mary,Princess Mary,Princess Mary,6,Alison Smith,Clayton Gallagher,$26,7.6
R6,Bathurst,6,4:25 pm Dusty Hooves Media Country Boosted Class 2 Plate,1200m,Class 2,Heavy 9,True,11,11,Sorrento Palace,Sorrento Palace,Sorrento Palace,10,Brett Thompson,Jake Pracey-holmes,$10,4
R6,Bathurst,6,4:25 pm Dusty Hooves Media Country Boosted Class 2 Plate,1200m,Class 2,Heavy 9,True,12,12,Indi Springs,Indi Springs,Indi Springs,9,Mack Griffith Jean,Van Overmeire,$1.85,1.7
R6,Bathurst,6,4:25 pm Dusty Hooves Media Country Boosted Class 2 Plate,1200m,Class 2,Heavy 9,True,13,13,Roman Miss,Roman Miss,Roman Miss,12,Alison Smith,Robyn Freeman,$41,6.2
R6,Bathurst,6,4:25 pm Dusty Hooves Media Country Boosted Class 2 Plate,1200m,Class 2,Heavy 9,True,14,14,Spring Prospect,Spring Prospect,Spring Prospect,2,David J Smith,Zoe Hunt,$3.3,4.7
