race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
4,3:10 pm The Ben Hall Dash Maiden Handicap,3:10 pm,1100m,Bathurst,Maiden,Heavy 9,True,4,Gold Finger,Gold Finger,Gold Finger,8,Michael Mulholland,Jacob Stiff (a-2),57kg,$3.5,false
4,3:10 pm The Ben Hall Dash Maiden Handicap,3:10 pm,1100m,Bathurst,Maiden,Heavy 9,True,5,Foray,Foray,Foray,6,Angus Stewart Jean,Van Overmeire,56.5kg,$5.25,false
4,3:10 pm The Ben Hall Dash Maiden Handicap,3:10 pm,1100m,Bathurst,Maiden,Heavy 9,True,8,Carafe,Carafe,Carafe,9,Dale Wagstaff,Adam Farragher,55kg,$81,false
4,3:10 pm The Ben Hall Dash Maiden Handicap,3:10 pm,1100m,Bathurst,Maiden,Heavy 9,True,9,Lucky Monkey,Lucky Monkey,Lucky Monkey,7,Karen Outtrim,Jake Pracey-holmes,55kg,$61,false
4,3:10 pm The Ben Hall Dash Maiden Handicap,3:10 pm,1100m,Bathurst,Maiden,Heavy 9,True,10,Pacific Diamond,Pacific Diamond,Pacific Diamond,5,Richard & Will Freedman,Dale Cole (a-2),55kg,$8.5,false
4,3:10 pm The Ben Hall Dash Maiden Handicap,3:10 pm,1100m,Bathurst,Maiden,Heavy 9,True,3,Monocru,Monocru,Monocru,2,Ciaron Maher,Adam Farragher,58kg,SCR,true
4,3:10 pm The Ben Hall Dash Maiden Handicap,3:10 pm,1100m,Bathurst,Maiden,Heavy 9,True,6,Prankaj,Prankaj,Prankaj,10,Blake Ryan Jean,Van Overmeire,55.5kg,SCR,true
4,3:10 pm The Ben Hall Dash Maiden Handicap,3:10 pm,1100m,Bathurst,Maiden,Heavy 9,True,7,Argantorati,Argantorati,Argantorati,4,,Joseph Ible,55kg,SCR,true
5,3:45 pm Happy Birthday Paul Thoebald Benchmark 58 Handicap,3:45 pm,1100m,Bathurst,BM58,Heavy 9,True,1,Zahdi,Zahdi,Zahdi,3,Gayna Williams,Reece Jones,61.5kg,$8,false
5,3:45 pm Happy Birthday Paul Thoebald Benchmark 58 Handicap,3:45 pm,1100m,Bathurst,BM58,Heavy 9,True,2,Baycat,Baycat,Baycat,6,Jarrod Austin,Chad Lever,61kg,$5.75,false
5,3:45 pm Happy Birthday Paul Thoebald Benchmark 58 Handicap,3:45 pm,1100m,Bathurst,BM58,Heavy 9,True,3,Prorata,Prorata,Prorata,7,Gregory Hickman,Jacob Stiff (a-2),60.5kg,$2,false
5,3:45 pm Happy Birthday Paul Thoebald Benchmark 58 Handicap,3:45 pm,1100m,Bathurst,BM58,Heavy 9,True,5,Gidgee Guy,Gidgee Guy,Gidgee Guy,10,Richard Jackson Jean,Van Overmeire,59.5kg,$31,false
