race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,11,11,Mr Crowning Moment,Mr Crowning Moment,Mr Crowning Moment,3,Maree Hopkins,Dale Cole (a-3),$71,7.6
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,12,12,Senza Rivali,Senza Rivali,Senza Rivali,1,Kristen Buchanan,Lee Magorrian,$51,8.5
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,13,13,Tragedies,Tragedies,Tragedies,4,Gary Portelli,Tyler Schiller,$13,8.2
R4,Kembla Grange,4,2:35 pm Craig Hamilton Provincial Maiden Handicap,1300m,Maiden,Heavy 8,True,1,1,Smoke 'N' Darts,Smoke 'N' Darts,Smoke 'N' Darts,4,Blake Ryan,Jay Ford,$2.6,1.5
R4,Kembla Grange,4,2:35 pm Craig Hamilton Provincial Maiden Handicap,1300m,Maiden,Heavy 8,True,2,2,Captain Peacock,Captain Peacock,Captain Peacock,6,Kerry Parker,Brock Ryan,$10,NA
R4,Kembla Grange,4,2:35 pm Craig Hamilton Provincial Maiden Handicap,1300m,Maiden,Heavy 8,True,4,4,Master Johnny,Master Johnny,Master Johnny,9,Theresa Bateup,Amy McLucas,$3.6,NA
R4,Kembla Grange,4,2:35 pm Craig Hamilton Provincial Maiden Handicap,1300m,Maiden,Heavy 8,True,10,10,She Can Salsa,She Can Salsa,She Can Salsa,16,Edward O'Rourke,Rachel King,$5,9
R4,Kembla Grange,4,2:35 pm Craig Hamilton Provincial Maiden Handicap,1300m,Maiden,Heavy 8,True,12,12,Lion Hunt,Lion Hunt,Lion Hunt,10,Brad Widdup,Tyler Schiller,$10,NA
R4,Kembla Grange,4,2:35 pm Craig Hamilton Provincial Maiden Handicap,1300m,Maiden,Heavy 8,True,13,13,Another Mission,Another Mission,Another Mission,17,Peter Green,Grant Buckley,$16,4.5
R4,Kembla Grange,4,2:35 pm Craig Hamilton Provincial Maiden Handicap,1300m,Maiden,Heavy 8,True,15,15,Honeyhill,Honeyhill,Honeyhill,5,,Kristen Buchanan,$26,2.3
R4,Kembla Grange,4,2:35 pm Craig Hamilton Provincial Maiden Handicap,1300m,Maiden,Heavy 8,True,18,18,Galactic Force,Galactic Force,Galactic Force,1,Sara Ryan,Alysha Collett,$14,6
R4,Kembla Grange,4,2:35 pm Craig Hamilton Provincial Maiden Handicap,1300m,Maiden,Heavy 8,True,20,20,Grey Belief,Grey Belief,Grey Belief,13,Terry Croft Siena,Grima A2 (a-2),$27,3.8
R5,Kembla Grange,5,3:10 pm Wests Illawarra Maiden Handicap,1500m,Maiden,Heavy 8,True,1,1,Corpulent,Corpulent,Corpulent,11,Clarry Conners,Andrew Calder,$16,2.7
R5,Kembla Grange,5,3:10 pm Wests Illawarra Maiden Handicap,1500m,Maiden,Heavy 8,True,2,2,Flying Party,Flying Party,Flying Party,1,Ciaron Maher,Adam Farragher,$5.5,5.7
R5,Kembla Grange,5,3:10 pm Wests Illawarra Maiden Handicap,1500m,Maiden,Heavy 8,True,3,3,Angulon,Angulon,Angulon,5,Gai Waterhouse & Adrian Bott,Regan Bayliss,$17,NA
R5,Kembla Grange,5,3:10 pm Wests Illawarra Maiden Handicap,1500m,Maiden,Heavy 8,True,4,4,Col Du Tourmalet,Col Du Tourmalet,Col Du Tourmalet,4,Robert Quinn,Shaun Guymer,$5.5,1.7
R5,Kembla Grange,5,3:10 pm Wests Illawarra Maiden Handicap,1500m,Maiden,Heavy 8,True,7,7,Hold My Drink,Hold My Drink,Hold My Drink,8,Mitchell Beer & George Carpenter Jean,Van Overmeire,$12,3
R5,Kembla Grange,5,3:10 pm Wests Illawarra Maiden Handicap,1500m,Maiden,Heavy 8,True,12,12,Five Of A Kind,Five Of A Kind,Five Of A Kind,2,"Michael, John & Wayne Hawkes",Jason Collett,$2.8,5.5
R5,Kembla Grange,5,3:10 pm Wests Illawarra Maiden Handicap,1500m,Maiden,Heavy 8,True,13,13,Glamour Magic,Glamour Magic,Glamour Magic,3,Joseph Pride,Jay Ford,$9.5,3.5
R5,Kembla Grange,5,3:10 pm Wests Illawarra Maiden Handicap,1500m,Maiden,Heavy 8,True,14,14,I Am Overs,I Am Overs,I Am Overs,15,Annabel & Rob Archibald,Braith Nock,$8,4.3
R5,Kembla Grange,5,3:10 pm Wests Illawarra Maiden Handicap,1500m,Maiden,Heavy 8,True,18,18,Let's Be Honest,Let's Be Honest,Let's Be Honest,19,John Thompson,Alysha Collett,$11,6.4
