race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Randwick,1,11:30 am Midway Handicap,1100m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",2,2,Shall Be,Shall Be,Shall Be,9,Mark Minervini,William Stanley (a-3),$23,2.1,racenet
R1,Randwick,1,11:30 am Midway Handicap,1100m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",3,3,Century Song,Century Song,Century Song,6,Robert & Luke Price,Tommy Berry,$9,6.5,racenet
R1,Randwick,1,11:30 am Midway Handicap,1100m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",5,5,Let's Go Again,Let's Go Again,Let's Go Again,8,Kerry Parker,Siena Grima (a-2),$7.5,3.8,racenet
R1,Randwick,1,11:30 am Midway Handicap,1100m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",7,7,Cosy Corner,Cosy Corner,Cosy Corner,7,Paul Perry,Shannen Llewellyn (a-3),$20,6.2,racenet
R1,Randwick,1,11:30 am Midway Handicap,1100m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",8,8,Be Quiet,Be Quiet,Be Quiet,3,Kim Waugh,Jay Ford,$41,4.4,racenet
R1,Randwick,1,11:30 am Midway Handicap,1100m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",9,9,Melanite,Melanite,Melanite,5,John Thompson,Kerrin McEvoy,$6.5,3.9,racenet
R1,Randwick,1,11:30 am Midway Handicap,1100m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",10,10,Bangkok Hottie,Bangkok Hottie,Bangkok Hottie,10,David Payne,Chad Schofield,$2.15,5.2,racenet
R1,Randwick,1,11:30 am Midway Handicap,1100m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",11,11,Twinkling Star,Twinkling Star,Twinkling Star,4,Matthew Vella,Rachel King,$9,5.6,racenet
R1,Randwick,1,11:30 am Midway Handicap,1100m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",12,12,Sneaky Sofia,Sneaky Sofia,Sneaky Sofia,2,Damien Lane,Anna Roper (a-1.5),$201,2.3,racenet
R1,Randwick,1,11:30 am Midway Handicap,1100m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",13,13,Zoukerino,Zoukerino,Zoukerino,1,Jason Coyle,Alysha Collett,$31,5.9,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",2,2,Sneaky Pee Cee,Sneaky Pee Cee,Sneaky Pee Cee,13,Danny Williams,Chad Schofield,$8,3.4,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",3,3,Lady Olenna,Lady Olenna,Lady Olenna,9,Paul Messara & Leah Gavranich,James McDonald,$3.9,4.7,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",4,4,Zumbo,Zumbo,Zumbo,10,Brett & Georgie Cavanough,Kerrin McEvoy,$6.5,3.3,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",7,7,Satin Stiletto,Satin Stiletto,Satin Stiletto,12,Matthew Dale,Tommy Berry,$13,2.5,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",8,8,Beaumista,Beaumista,Beaumista,8,Simon Casey,Shannen Llewellyn (a-3),$13,8.8,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",9,9,Their Finest Hour,Their Finest Hour,Their Finest Hour,5,Daiki Chujo,Noriyuki Masuda,$23,2.6,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",10,10,Bombay Boom dbl,Bombay Boom dbl,Bombay Boom dbl,4,Matthew Dale,Tim Clark,$10,,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",11,11,Move She Can,Move She Can,Move She Can,2,Rodney Northam,Reece Jones,$21,4.7,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",12,12,Silver Serenade,Silver Serenade,Silver Serenade,14,Danny Williams,Anna Roper (a-1.5),$41,4.1,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",13,13,Laizabout,Laizabout,Laizabout,11,Jeremy Sylvester,Alysha Collett,$41,6.5,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",14,14,Nevermista,Nevermista,Nevermista,7,Simon Casey,Winona Costin,$14,4.6,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",15,15,Magic Speed,Magic Speed,Magic Speed,6,Paul Facoory,Jay Ford,$34,4.2,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",16,16,Ready To Rush,Ready To Rush,Ready To Rush,1,Matthew Dale,Rachel King,$10,3.2,racenet
R2,Randwick,2,12:05 pm Tab Highway Handicap,1000m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",18,18,Bargino,Bargino,Bargino,3,Nadine Cameron,Damon Budler,$61,7.2,racenet
R3,Randwick,3,12:40 pm Precise Air Handicap,1400m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",1,1,Dusty Bay,Dusty Bay,Dusty Bay,3,Tracey Bartley,Siena Grima (a-2),$6.5,3.2,racenet
R3,Randwick,3,12:40 pm Precise Air Handicap,1400m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",2,2,Nullarbor Jane,Nullarbor Jane,Nullarbor Jane,7,John Sargent,Anna Roper (a-1.5),$7.5,1.7,racenet
R3,Randwick,3,12:40 pm Precise Air Handicap,1400m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",3,3,Persian Wonder,Persian Wonder,Persian Wonder,1,David Payne,Tommy Berry,$12,5.8,racenet
R3,Randwick,3,12:40 pm Precise Air Handicap,1400m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",4,4,Cobra Club,Cobra Club,Cobra Club,8,Gai Waterhouse & Adrian Bott,Regan Bayliss,$15,2.4,racenet
R3,Randwick,3,12:40 pm Precise Air Handicap,1400m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",5,5,Avista,Avista,Avista,4,Paul Messara & Leah Gavranich,James McDonald (a0.5),$2.2,6.6,racenet
R3,Randwick,3,12:40 pm Precise Air Handicap,1400m,Handicap,Soft 5,+4m Entire,Fine,5.26,"Going Stick - 9.2, Shear - 11.6",6,6,Audit,Audit,Audit,5,Les Bridge,Kerrin McEvoy,$101,5.8,racenet
