race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,5,Equinox Legend,Equinox Legend,Equinox Legend,3,Les Bridge,Andrew Adkins,59kg,$4.4,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,7,Leon Ruben,Leon Ruben,Leon Ruben,11,Diane Poidevin Laine,Ellen Hennessy,59kg,$21,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,8,Tupelo Twist,Tupelo Twist,Tupelo Twist,2,Theresa Bateup,Jessica Taylor,59kg,$126,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,9,Gemtiki,Gemtiki,Gemtiki,9,Shaun Harvey,Siena Grima (a-2),57kg,$34,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,10,Liyah's Girl,Liyah's Girl,Liyah's Girl,4,Matthew Smith,Jett Newman (a-2),57kg,$19,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,11,Wee Winn,Wee Winn,Wee Winn,7,Peter Snowden,Mitch Stapleford (a-1.5),57kg,$9,false
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,1,Blazing Statement,Blazing Statement,Blazing Statement,6,Nikki Hodgson,Grant Buckley,59kg,,true
3,1:15 pm Mmj Wollongong Super Maiden Plate,1:15 pm,1600m,Kembla Grange,Maiden,,,6,Heeza Steve,Heeza Steve,Heeza Steve,10,Mitchell & Desiree Kearney,,59kg,,true
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,1,Bankrupt,Bankrupt,Bankrupt,11,Lee & Cherie Curtis,Jeff Penza,59kg,$23,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,2,Coral Cove,Coral Cove,Coral Cove,3,Theresa Bateup,Jessica Taylor,59kg,$51,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,3,Pariah Time,Pariah Time,Pariah Time,7,Mitchell Beer & George Carpenter,Dylan Gibbons,59kg,$5,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,4,Santarno,Santarno,Santarno,6,Robert & Luke Price,Tommy Berry,59kg,$7.5,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,5,Stakeholder,Stakeholder,Stakeholder,13,Tracey Bartley,Rory Hutchings,59kg,$10,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,6,Wildstone Nature,Wildstone Nature,Wildstone Nature,4,Theresa Bateup,Molly Bourke,59kg,$51,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,7,Creator Of World,Creator Of World,Creator Of World,12,Ross McConville,Zac Lloyd,58.5kg,$5.5,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,8,Written Doll,Written Doll,Written Doll,8,David Pfieffer,Jay Ford,58.5kg,$2.6,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,9,The Agent,The Agent,The Agent,1,Amanda Turner,Winona Costin,58kg,$27,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,10,Enchanted Rose,Enchanted Rose,Enchanted Rose,5,Kerry Parker,Brock Ryan,57kg,$23,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,11,Pacific Palisades,Pacific Palisades,Pacific Palisades,9,David Pfieffer,Regan Bayliss,57kg,$41,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,12,Celestial Grace,Celestial Grace,Celestial Grace,10,Gary Portelli,Siena Grima (a-2),55kg,$15,false
4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1:55 pm,1200m,Kembla Grange,Maiden,,,13,Quadria,Quadria,Quadria,2,Paul & Martha Cave,,55kg,,true
5,2:35 pm Black Aly Window Tinting Class 1 Handicap,2:35 pm,1300m,Kembla Grange,Class 1,,,1,Onmalone,Onmalone,Onmalone,3,Gerald Ryan & Sterling Alexiou,Andrew Adkins,59kg,$5.5,false
5,2:35 pm Black Aly Window Tinting Class 1 Handicap,2:35 pm,1300m,Kembla Grange,Class 1,,,2,Skirmish,Skirmish,Skirmish,10,Kerry Parker,Jay Ford,58kg,$9.5,false
5,2:35 pm Black Aly Window Tinting Class 1 Handicap,2:35 pm,1300m,Kembla Grange,Class 1,,,3,Cuesta,Cuesta,Cuesta,4,Bjorn Baker,Zac Lloyd,57.5kg,$3.6,false
5,2:35 pm Black Aly Window Tinting Class 1 Handicap,2:35 pm,1300m,Kembla Grange,Class 1,,,4,Tsarevich,Tsarevich,Tsarevich,6,John Sargent,Molly Bourke,57.5kg,$20,false
5,2:35 pm Black Aly Window Tinting Class 1 Handicap,2:35 pm,1300m,Kembla Grange,Class 1,,,5,Call Me Sassy,Call Me Sassy,Call Me Sassy,8,David Pfieffer,Tommy Berry,57kg,$3.8,false
5,2:35 pm Black Aly Window Tinting Class 1 Handicap,2:35 pm,1300m,Kembla Grange,Class 1,,,6,Rose Of Fenway,Rose Of Fenway,Rose Of Fenway,5,Mitchell Beer & George Carpenter,Dylan Gibbons,57kg,$3.8,false
5,2:35 pm Black Aly Window Tinting Class 1 Handicap,2:35 pm,1300m,Kembla Grange,Class 1,,,7,Sir Tua,Sir Tua,Sir Tua,2,Richard & Will Freedman,Chad Schofield,57kg,$12,false
