race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R4,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1200m,Maiden,Good,,4,4,Santarno,Santarno,Santarno,6,Robert & Luke Price,Tommy Berry,$7.5,NA,racenet
R4,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1200m,Maiden,Good,,5,5,Stakeholder,Stakeholder,Stakeholder,13,Tracey Bartley,Rory Hutchings,$10,2,racenet
R4,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1200m,Maiden,Good,,6,6,Wildstone Nature,Wildstone Nature,Wildstone Nature,4,Theresa Bateup,Molly Bourke,$51,NA,racenet
R4,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1200m,Maiden,Good,,7,7,Creator Of World,Creator Of World,Creator Of World,12,Ross McConville,Zac Lloyd,$5.5,5.2,racenet
R4,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1200m,Maiden,Good,,8,8,Written Doll,Written Doll,Written Doll,8,David Pfieffer,Jay Ford,$2.6,5,racenet
R4,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1200m,Maiden,Good,,9,9,The Agent,The Agent,The Agent,1,Amanda Turner,Winona Costin,$27,4,racenet
R4,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1200m,Maiden,Good,,10,10,Enchanted Rose,Enchanted Rose,Enchanted Rose,5,Kerry Parker,Brock Ryan,$23,NA,racenet
R4,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1200m,Maiden,Good,,11,11,Pacific Palisades,Pacific Palisades,Pacific Palisades,9,David Pfieffer,Regan Bayliss,$41,NA,racenet
R4,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,1200m,Maiden,Good,,12,12,Celestial Grace,Celestial Grace,Celestial Grace,10,Gary Portelli,Siena Grima (a-2),$15,4.7,racenet
R5,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,1300m,Class 1,Good,,1,1,Onmalone,Onmalone,Onmalone,3,Gerald Ryan & Sterling Alexiou,Andrew Adkins,$5.5,3.2,racenet
R5,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,1300m,Class 1,Good,,2,2,Skirmish,Skirmish,Skirmish,10,Kerry Parker,Jay Ford,$9.5,5.7,racenet
R5,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,1300m,Class 1,Good,,3,3,Cuesta,Cuesta,Cuesta,4,Bjorn Baker,Zac Lloyd,$3.6,4.6,racenet
R5,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,1300m,Class 1,Good,,4,4,Tsarevich,Tsarevich,Tsarevich,6,John Sargent,Molly Bourke,$20,6.5,racenet
R5,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,1300m,Class 1,Good,,5,5,Call Me Sassy,Call Me Sassy,Call Me Sassy,8,David Pfieffer,Tommy Berry,$3.8,5.9,racenet
R5,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,1300m,Class 1,Good,,6,6,Rose Of Fenway,Rose Of Fenway,Rose Of Fenway,5,Mitchell Beer & George Carpenter,Dylan Gibbons,$3.8,1.7,racenet
R5,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,1300m,Class 1,Good,,7,7,Sir Tua,Sir Tua,Sir Tua,2,Richard & Will Freedman,Chad Schofield,$12,5.6,racenet
R5,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,1300m,Class 1,Good,,10,10,Excuseme Mrofficer,Excuseme Mrofficer,Excuseme Mrofficer,1,Ross McConville,Robyn Freeman,$41,6.1,racenet
R6,Kembla Grange,6,3:10 pm Site Drop Class 1 Handicap,1600m,Class 1,Good,,1,1,Aethelwulf,Aethelwulf,Aethelwulf,9,Matthew Smith,Zac Lloyd,$1.7,5.7,racenet
R6,Kembla Grange,6,3:10 pm Site Drop Class 1 Handicap,1600m,Class 1,Good,,3,3,Yachiyo,Yachiyo,Yachiyo,2,Mick Price & Michael Kent Jnr,Andrew Adkins,$8,4.2,racenet
