record_id,track,race_number,race_name,track_condition,runner_number,runner_name,barrier,jockey,trainer,w_ir,source_file,source_file_modified_at,imported_at,created_at,updated_at,last_source_file,last_source_category,race_id,grade,no,horse_name,name,source
rid_e00daafba6bd5f6b,Kembla Grange,1,12:05 pm Greenway Turf Solutions 2yo Maiden Plate,Good,14,Yankallila Bronc,11,Andrew Adkins,Peter Snowden,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R1,Maiden,14,Yankallila Bronc,Yankallila Bronc,racenet
rid_014e7c2bb8663162,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,1,Peace Bird,8,Louise Day,Ciaron Maher,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,1,Peace Bird,Peace Bird,racenet
rid_cd08937371d16ca5,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,2,Creator Of World,12,Chad Schofield (a0.5),Ross McConville,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,2,Creator Of World,Creator Of World,racenet
rid_ab9ed44acbf53f20,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,3,Rapid Revenue,10,Tommy Berry,Bjorn Baker,10.0,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,3,Rapid Revenue,Rapid Revenue,racenet
rid_b384cc8bcda09632,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,4,Glissando,4,Siena Grima (a-2),Chris Waller,7.0,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,4,Glissando,Glissando,racenet
rid_aa766b8c891831a0,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,5,Heart Reset,6,Brock Ryan,Robert & Luke Price,10.1,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,5,Heart Reset,Heart Reset,racenet
rid_c79fec93523ef374,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,6,Swift Delivery,7,Zac Lloyd,David Pfieffer,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,6,Swift Delivery,Swift Delivery,racenet
rid_df472fae99cf1113,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,7,Divine Heights,3,Olivia Chambers (a-2),David Payne,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,7,Divine Heights,Divine Heights,racenet
rid_9120893ec540725d,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,8,Last Tour,1,Jessica Taylor,Brad Widdup,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,8,Last Tour,Last Tour,racenet
rid_8db654a8dcacd61c,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,9,Nambi Ghima,2,Jessica Taylor,Jason Coyle,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,9,Nambi Ghima,Nambi Ghima,racenet
