race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,10,Lord Elrond,Lord Elrond,Lord Elrond,12,Tom Charlton,Andrew Adkins,55.5kg,SCR,true
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,12,Hellflight,Hellflight,Hellflight,8,Richard &,Will Freedman,55kg,SCR,true
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,13,Pacific Diamond,Pacific Diamond,Pacific Diamond,7,Richard & Will Freedman,Ashley Morgan,55kg,SCR,true
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,3,Firey Truth,Firey Truth,Firey Truth,5,Kris Lees,Ashley Morgan,59kg,$10,false
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,4,Grunge,Grunge,Grunge,4,Marc Chevalier,Louis Beuzelin,59kg,$34,false
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,5,Last Tour,Last Tour,Last Tour,1,Brad Widdup,Leeshelle Small (a-3),59kg,$11,false
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,6,Opine,Opine,Opine,8,Joseph Pride,Andrew Adkins,59kg,$5,false
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,7,Pharland,Pharland,Pharland,6,Gerald Ryan & Sterling Alexiou,Kerrin McEvoy,59kg,$8.5,false
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,9,Miss Binman,Miss Binman,Miss Binman,11,Mark Sues Shannen,Llewellyn A3 (a-2),57kg,$301,false
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,10,Sorentina,Sorentina,Sorentina,9,Richard Litt,Tom Sherry,57kg,$4.8,false
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,12,Tannin,Tannin,Tannin,7,Michael Freedman,Tommy Berry,56.5kg,$2.25,false
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,1,Demonstrator,Demonstrator,Demonstrator,10,Richard &,Will Freedman,59kg,SCR,true
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,2,Encryptix,Encryptix,Encryptix,3,Gregory McFarlane,Jessica Taylor,59kg,SCR,true
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,8,Stability,Stability,Stability,12,Nacim Dilmi,Chad Schofield,59kg,SCR,true
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,11,Spearpoint,Spearpoint,Spearpoint,2,Kristen Buchanan,Alysha Collett,57kg,SCR,true
5,3:10 pm Ip Advokat Group Benchmark 64 Handicap,3:10 pm,1600m,Gosford,BM64,Soft 5,True,1,Squeezebox,Squeezebox,Squeezebox,6,Kim Waugh,Keagan Latham,59.5kg,$2.6,false
5,3:10 pm Ip Advokat Group Benchmark 64 Handicap,3:10 pm,1600m,Gosford,BM64,Soft 5,True,2,Altair I Am,Altair I Am,Altair I Am,4,Jake Hull,Rory Hutchings,58.5kg,$41,false
5,3:10 pm Ip Advokat Group Benchmark 64 Handicap,3:10 pm,1600m,Gosford,BM64,Soft 5,True,3,Tip Top Timing,Tip Top Timing,Tip Top Timing,3,Clarry Conners,Deanne Panya,58kg,$26,false
5,3:10 pm Ip Advokat Group Benchmark 64 Handicap,3:10 pm,1600m,Gosford,BM64,Soft 5,True,4,Inception,Inception,Inception,1,Nathan Doyle,Ashley Morgan,57kg,$5.5,false
5,3:10 pm Ip Advokat Group Benchmark 64 Handicap,3:10 pm,1600m,Gosford,BM64,Soft 5,True,5,Chilly Charlie,Chilly Charlie,Chilly Charlie,7,Sara Ryan,Alysha Collett,56.5kg,$4.2,false
5,3:10 pm Ip Advokat Group Benchmark 64 Handicap,3:10 pm,1600m,Gosford,BM64,Soft 5,True,6,I Am Wild,I Am Wild,I Am Wild,5,Ron Quinton,Louise Day,56.5kg,$13,false
5,3:10 pm Ip Advokat Group Benchmark 64 Handicap,3:10 pm,1600m,Gosford,BM64,Soft 5,True,7,Ivy Legend,Ivy Legend,Ivy Legend,8,Chris Waller,Tommy Berry,56kg,$3.9,false
5,3:10 pm Ip Advokat Group Benchmark 64 Handicap,3:10 pm,1600m,Gosford,BM64,Soft 5,True,8,Damascus Gate,Damascus Gate,Damascus Gate,2,Carlos Antonio,Leeshelle Small (a-3),55kg,SCR,true
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,1,Aeternum,Aeternum,Aeternum,9,Kristen Buchanan,Alysha Collett,58kg,$8.5,false
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,2,One Run Won,One Run Won,One Run Won,8,John Sargent,Donovan Dillon,58kg,$10,false
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,3,Don't What Me,Don't What Me,Don't What Me,7,Jason Coyle,Mitchell Bell,57.5kg,$15,false
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,4,Luskintyre,Luskintyre,Luskintyre,6,Ron Quinton,Louise Day,57.5kg,$5,false
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,5,Serinda,Serinda,Serinda,2,Blake Ryan,Jay Ford,57.5kg,$3,false
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,7,Red Chick,Red Chick,Red Chick,12,Jake Hull Shannen,Llewellyn A3 (a-2),55.5kg,$3.2,false
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,9,Salma's Star,Salma's Star,Salma's Star,3,Gregory McFarlane,Jessica Taylor,55kg,$16,false
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,11,Manwe,Manwe,Manwe,5,Rebecca Dunn,Siena Grima (a-2),55kg,$34,false
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,6,I Am Brave,I Am Brave,I Am Brave,4,Richard & Will Freedman,Chad Schofield,56.5kg,SCR,true
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,8,Shirley's Tribute,Shirley's Tribute,Shirley's Tribute,10,Peter Snowden,Mitch Stapleford (a-1.5),55kg,SCR,true
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,10,Tango On,Tango On,Tango On,1,Claire Lever,Winona Costin,55kg,SCR,true
6,3:45 pm Sneddon Bros Class 1 Handicap,3:45 pm,1100m,Gosford,Class 1,Soft 5,True,12,Valentino Prince,Valentino Prince,Valentino Prince,11,,Paul Perry,55kg,SCR,true
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,1,Harlex,Harlex,Harlex,12,Paul Perry,William Stanley (a-1.5),61kg,$6,false
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,2,King Larry,King Larry,King Larry,1,Wayne Wilkes Shannen,Llewellyn A3 (a-2),60kg,$9,false
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,4,Prince Harrison,Prince Harrison,Prince Harrison,3,Marc & Mitchell Conners,Deanne Panya,59kg,$6.5,false
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,5,Kirkuk,Kirkuk,Kirkuk,4,Jim & Greg Lee,Mitch Stapleford (a-1.5),58.5kg,$10,false
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,6,Broadway Follies,Broadway Follies,Broadway Follies,8,Kristen Buchanan,Olivia Chambers (a-2),58kg,$8,false
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,7,Kosrae,Kosrae,Kosrae,13,Brad Widdup,Leeshelle Small (a-3),58kg,$6,false
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,8,Starinion,Starinion,Starinion,5,Steven Sampson Rebecca,Bronett Prag (a-3),58kg,$11,false
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,9,Super Choice,Super Choice,Super Choice,9,Gai Waterhouse & Adrian Bott,Rachel King,57.5kg,$4.6,false
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,10,Are Ee Que,Are Ee Que,Are Ee Que,10,Ron Quinton,Matt Kirk (a-4),57kg,$14,false
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,11,Cosmolicious,Cosmolicious,Cosmolicious,6,Cheryl Grouse,Andrew Gibbons,55.5kg,$21,false
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,3,Crimson Wings,Crimson Wings,Crimson Wings,7,Richard & Will Freedman,Chad Schofield,59kg,SCR,true
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,12,Salma's Star,Salma's Star,Salma's Star,11,,Gregory McFarlane,55kg,SCR,true
7,4:20 pm Christmas In July @ Grc Sat 18 July 2026 Benchmark 64 Handicap,4:20 pm,1200m,Gosford,BM64,Soft 5,True,13,Tango On,Tango On,Tango On,2,,Claire Lever,55kg,SCR,true
