race_no,race_name,distance,no,horse,barrier,trainer,jockey,weight,odds,scratched
5,2:35 pm Kia Western Region Dealer Of The Year Handicap,1800m,2,Stay Tuned dsh,1,Paul & Martha Cave,Mollie Fitzgerald (a-3),60.5kg,$31,false
5,2:35 pm Kia Western Region Dealer Of The Year Handicap,1800m,3,Midnight Luna s,8,Rob Potter,Claire Ramsbotham (a-3),60kg,$18,false
5,2:35 pm Kia Western Region Dealer Of The Year Handicap,1800m,4,Cash Me o,12,Jarrod Austin,Louise Day,59kg,$71,false
5,2:35 pm Kia Western Region Dealer Of The Year Handicap,1800m,5,November Air s,5,Annabel & Rob Archibald,Nash Rawiller,58.5kg,$8.5,false
5,2:35 pm Kia Western Region Dealer Of The Year Handicap,1800m,6,That A Boy,6,Paul Facoory,Alysha Collett,58.5kg,$51,false
5,2:35 pm Kia Western Region Dealer Of The Year Handicap,1800m,7,Stellar Rhonda h,11,Matthew Smith,Zac Lloyd,58kg,$5.5,false
5,2:35 pm Kia Western Region Dealer Of The Year Handicap,1800m,8,Hold The Door,10,Gai Waterhouse & Adrian Bott,Tim Clark,57kg,$5,false
5,2:35 pm Kia Western Region Dealer Of The Year Handicap,1800m,9,Luna Bay,2,Richard & Will Freedman,Jason Collett,56.5kg,$9.5,false
5,2:35 pm Kia Western Region Dealer Of The Year Handicap,1800m,10,Chispa,7,Chris Waller,James McDonald (a0.5),56kg,$2.3,false
6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,1250m,1,Mafia ds,2,Mitchell Beer & George Carpenter,Tommy Berry,61kg,$4.6,false
6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,1250m,2,High Blue Sea do,9,Gerald Ryan & Sterling Alexiou,Nash Rawiller,60.5kg,$3.8,false
6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,1250m,3,The Extreme Cat dsh,10,Nathan Doyle,James McDonald,60.5kg,$3.75,false
6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,1250m,4,Forecaster sh,6,Paul Perry,William Stanley (a-3),59.5kg,$11,false
6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,1250m,5,Crop Duster dsho,3,Jeremy Gask,Reece Jones,58.5kg,$46,false
6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,1250m,6,Ningaloo Star tcdsh,8,John Sargent,Siena Grima (a-3),58.5kg,$15,false
6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,1250m,7,West Of Dalby dsh,11,Matthew Dale,Tim Clark,58.5kg,$5.5,false
6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,1250m,8,Laurel Hill tcdshb(D/A),7,Rob Potter,Damon Budler,57kg,$12,false
6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,1250m,9,Doogan's Design dso(D/A),5,Paul Facoory,Jay Ford,54kg,$101,false
6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,1250m,10,Grins s(D/A),1,Ross Lomax,Zac Wadick (a-2),54kg,$51,false
7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,1250m,1,Super Nui dsh,9,Ron Quinton,Louise Day,61.5kg,$11,false
7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,1250m,2,Mamushka db,6,Tom Charlton,Anna Roper (a-2),61kg,$4.8,false
