race_id,race_title,race_no,runner_no,no,horse,barrier,trainer,jockey,odds,w_ir
R5,2:35 pm Kia Western Region Dealer Of The Year Handicap,5,6,6,That A Boy,6,Paul Facoory,Alysha Collett,$51,4.6
R5,2:35 pm Kia Western Region Dealer Of The Year Handicap,5,7,7,Stellar Rhonda h,11,Matthew Smith,Zac Lloyd,$5.5,
R5,2:35 pm Kia Western Region Dealer Of The Year Handicap,5,8,8,Hold The Door,10,Gai Waterhouse & Adrian Bott,Tim Clark,$5,2.3
R5,2:35 pm Kia Western Region Dealer Of The Year Handicap,5,9,9,Luna Bay,2,Richard & Will Freedman,Jason Collett,$9.5,5.1
R5,2:35 pm Kia Western Region Dealer Of The Year Handicap,5,10,10,Chispa,7,Chris Waller,James McDonald (a0.5),$2.3,6.7
R6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,6,1,1,Mafia ds,2,Mitchell Beer & George Carpenter,Tommy Berry,$4.6,
R6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,6,2,2,High Blue Sea do,9,Gerald Ryan & Sterling Alexiou,Nash Rawiller,$3.8,
R6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,6,3,3,The Extreme Cat dsh,10,Nathan Doyle,James McDonald,$3.75,
R6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,6,4,4,Forecaster sh,6,Paul Perry,William Stanley (a-3),$11,
R6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,6,5,5,Crop Duster dsho,3,Jeremy Gask,Reece Jones,$46,
R6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,6,6,6,Ningaloo Star tcdsh,8,John Sargent,Siena Grima (a-3),$15,
R6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,6,7,7,West Of Dalby dsh,11,Matthew Dale,Tim Clark,$5.5,
R6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,6,8,8,Laurel Hill tcdshb(D/A),7,Rob Potter,Damon Budler,$12,
R6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,6,9,9,Doogan's Design dso(D/A),5,Paul Facoory,Jay Ford,$101,
R6,3:10 pm Kia Northern Region Dealer Of The Year Handicap,6,10,10,Grins s(D/A),1,Ross Lomax,Zac Wadick (a-2),$51,
R7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,7,1,1,Super Nui dsh,9,Ron Quinton,Louise Day,$11,
R7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,7,2,2,Mamushka db,6,Tom Charlton,Anna Roper (a-2),$4.8,
R7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,7,3,3,Let's Fly ho,12,Richard & Will Freedman,Chad Schofield,$23,
R7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,7,4,4,Thames ds,11,Gary Portelli,Zac Lloyd,$6.5,
R7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,7,5,5,Cavity Bay d,4,Clarry Conners,Rachel King,$21,
R7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,7,6,6,Invisible Magic ts,8,Ciaron Maher,Siena Grima (a-3),$14,
R7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,7,7,7,Fleeting Spirit tcd,5,Gerald Ryan & Sterling Alexiou,Kerrin McEvoy,$4.2,
R7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,7,8,8,Mrs Maree db,10,Clarry Conners,Nash Rawiller (a1),$5,
R7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,7,9,9,Seastraand dso,13,Annabel & Rob Archibald,Mollie Fitzgerald (a-3),$15,
R7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,7,10,10,My Proclama ds,2,Joseph Pride,Andrew Adkins,$21,
R8,4:20 pm Kia National Dealer Of The Year Handicap,8,1,1,Cellarmaster ds,2,Tom Charlton,Zac Lloyd,$6,
R8,4:20 pm Kia National Dealer Of The Year Handicap,8,2,2,Hurstville Zagreb h,12,Tom Charlton,Anna Roper (a-2),$12,
R8,4:20 pm Kia National Dealer Of The Year Handicap,8,3,3,Modown dso,15,Charlotte Littlefield,Braith Nock (a-1.5),$16,
R8,4:20 pm Kia National Dealer Of The Year Handicap,8,4,4,Pier Pressure ds,7,Kris Lees,William Stanley (a-3),$31,
R8,4:20 pm Kia National Dealer Of The Year Handicap,8,5,5,Emirate sh,9,Chris Waller,Sam Clipperton,$14,
R8,4:20 pm Kia National Dealer Of The Year Handicap,8,6,6,Nana's Wish tdsh,5,Ciaron Maher,Mollie Fitzgerald (a-3),$15,
R8,4:20 pm Kia National Dealer Of The Year Handicap,8,7,7,Theblade tds,3,"Michael, John & Wayne Hawkes",Tyler Schiller,$4.4,
R8,4:20 pm Kia National Dealer Of The Year Handicap,8,8,8,Crossbow tcds,6,Chris Waller,James McDonald,$5.5,
R8,4:20 pm Kia National Dealer Of The Year Handicap,8,9,9,Unique Ambition ds,4,John Sargent,Nash Rawiller,$6.5,
R8,4:20 pm Kia National Dealer Of The Year Handicap,8,10,10,Valorous Power,8,Kris Lees,Jason Collett,$35,6
R8,4:20 pm Kia National Dealer Of The Year Handicap,8,12,12,Island Dream dsh,16,Chris Waller,Tommy Berry,$19,
