race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,1:25 pm Exceedance @ Vinery Stud Handicap,1:25 pm,1100m,Canterbury,Handicap,Heavy 9,+4m Entire,1,Celestial Charm,Celestial Charm,Celestial Charm,7,Michael Freedman,Tommy Berry,58kg,$5,false
1,1:25 pm Exceedance @ Vinery Stud Handicap,1:25 pm,1100m,Canterbury,Handicap,Heavy 9,+4m Entire,3,Chic,Chic,Chic,2,Chris Waller,Nash Rawiller,58kg,$10,false
1,1:25 pm Exceedance @ Vinery Stud Handicap,1:25 pm,1100m,Canterbury,Handicap,Heavy 9,+4m Entire,4,Grey Star,Grey Star,Grey Star,6,Tom Charlton,Andrew Adkins,58kg,$61,false
1,1:25 pm Exceedance @ Vinery Stud Handicap,1:25 pm,1100m,Canterbury,Handicap,Heavy 9,+4m Entire,6,Miss Scandal,Miss Scandal,Miss Scandal,1,Chris Waller,James McDonald,58kg,$2.05,false
1,1:25 pm Exceedance @ Vinery Stud Handicap,1:25 pm,1100m,Canterbury,Handicap,Heavy 9,+4m Entire,7,Pin Up Sheila,Pin Up Sheila,Pin Up Sheila,3,Tom Charlton,Dylan Gibbons,58kg,$11,false
1,1:25 pm Exceedance @ Vinery Stud Handicap,1:25 pm,1100m,Canterbury,Handicap,Heavy 9,+4m Entire,8,Bollente Bella,Bollente Bella,Bollente Bella,5,Kris Lees,Kerrin McEvoy,57.5kg,$20,false
1,1:25 pm Exceedance @ Vinery Stud Handicap,1:25 pm,1100m,Canterbury,Handicap,Heavy 9,+4m Entire,9,Girl About Town,Girl About Town,Girl About Town,4,Tom Charlton,Jason Collett,57.5kg,$6,false
1,1:25 pm Exceedance @ Vinery Stud Handicap,1:25 pm,1100m,Canterbury,Handicap,Heavy 9,+4m Entire,10,Single Ladies,Single Ladies,Single Ladies,8,Gai Waterhouse & Adrian Bott,Adam Hyeronimus,57.5kg,$11,false
1,1:25 pm Exceedance @ Vinery Stud Handicap,1:25 pm,1100m,Canterbury,Handicap,Heavy 9,+4m Entire,11,Piratess,Piratess,Piratess,10,Allan McRae,Robyn Freeman,56.5kg,$151,false
1,1:25 pm Exceedance @ Vinery Stud Handicap,1:25 pm,1100m,Canterbury,Handicap,Heavy 9,+4m Entire,2,Express,Express,Express,9,Chris Waller,Sam Clipperton,58kg,SCR,true
1,1:25 pm Exceedance @ Vinery Stud Handicap,1:25 pm,1100m,Canterbury,Handicap,Heavy 9,+4m Entire,5,Infinite Sky,Infinite Sky,Infinite Sky,11,Chris Waller,Tim Clark,58kg,SCR,true
2,2:00 pm Toyota Forklifts Handicap,2:00 pm,1250m,Canterbury,Handicap,Heavy 9,+4m Entire,1,Snitzel Miss,Snitzel Miss,Snitzel Miss,8,Chris Waller,Nash Rawiller,60kg,$3.8,false
2,2:00 pm Toyota Forklifts Handicap,2:00 pm,1250m,Canterbury,Handicap,Heavy 9,+4m Entire,2,Front Rank,Front Rank,Front Rank,11,Gai Waterhouse & Adrian Bott,Tim Clark,59kg,$4.6,false
2,2:00 pm Toyota Forklifts Handicap,2:00 pm,1250m,Canterbury,Handicap,Heavy 9,+4m Entire,3,Incremental,Incremental,Incremental,6,Annabel & Rob Archibald,Braith Nock (a-1.5),58kg,$15,false
2,2:00 pm Toyota Forklifts Handicap,2:00 pm,1250m,Canterbury,Handicap,Heavy 9,+4m Entire,5,Artgirl,Artgirl,Artgirl,3,Chris Waller,James McDonald,57.5kg,$2.3,false
2,2:00 pm Toyota Forklifts Handicap,2:00 pm,1250m,Canterbury,Handicap,Heavy 9,+4m Entire,6,Escalera Al Cielo,Escalera Al Cielo,Escalera Al Cielo,1,Paul & Martha Cave,Andrew Calder,57kg,$46,false
