race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",1,1,Exit Fee,Exit Fee,Exit Fee,4,Danny Williams,Adam Hyeronimus,$4.8,7.4
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",3,3,Hurry Miss,Hurry Miss,Hurry Miss,15,Matthew Dale,Siena Grima (a-2),$41,6.8
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",4,4,Chains Of Love,Chains Of Love,Chains Of Love,10,Paul Messara & Leah Gavranich,Aaron Bullock,$3.1,2.3
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",5,5,Neeson,Neeson,Neeson,11,Danielle Seib,Shaun Guymer,$15,2.4
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",6,6,Occult,Occult,Occult,5,Brett & Georgie Cavanough,Kerrin McEvoy,$20,3.7
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",7,7,She Within,She Within,She Within,7,Danny Williams,Chad Schofield,$11,8.3
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",9,9,Ragga Ragga,Ragga Ragga,Ragga Ragga,9,Keith Dryden & Libby Snowden,Blaike McDougall,$251,3.8
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",10,10,King Of Dragons,King Of Dragons,King Of Dragons,3,Matthew Dale,Tom Sherry,$13,3.1
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",11,11,Martini Mumma,Martini Mumma,Martini Mumma,1,Matthew Dale,Mollie Fitzgerald (a-3),$11,5.7
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",12,12,Cambar,Cambar,Cambar,12,Gary Colvin,Regan Bayliss,$41,7.3
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",13,13,Storm Merchant,Storm Merchant,Storm Merchant,14,Matthew Dunn,Anna Roper (a-2),$12,1.1
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",14,14,Athena's Treasure,Athena's Treasure,Athena's Treasure,13,Todd Howlett,Louise Day,$41,9.8
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",15,15,Chica Del Mar,Chica Del Mar,Chica Del Mar,8,Paul Snowden,Jason Collett,$61,4.4
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",18,18,Ischyros ho,Ischyros ho,Ischyros ho,2,Scott Collings,Alysha Collett,$201,5.7
R1,Randwick,1,11:00 am Tab Highway Handicap,1200m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",20,20,Sunrise Ridge,Sunrise Ridge,Sunrise Ridge,6,Greg Backhouse,Andrew Adkins,$29,4.9
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",1,1,Forbidden Riff,Forbidden Riff,Forbidden Riff,10,Richard & Will Freedman,Chad Schofield,$71,5.3
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",4,4,Captain Fenkel,Captain Fenkel,Captain Fenkel,7,Mitchell Beer & George Carpenter,Coriah Keatings (a-3),$17,4.4
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",5,5,Tambeloa,Tambeloa,Tambeloa,9,Kristen Buchanan,Mollie Fitzgerald (a-3),$15,4.3
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",6,6,Hereward,Hereward,Hereward,5,Denim Wynen,Anna Roper (a-2),$6.5,1.7
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",8,8,Perfect Justice,Perfect Justice,Perfect Justice,6,John Sargent,Siena Grima (a-2),$2.7,5.9
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",9,9,Tenderize,Tenderize,Tenderize,13,Gary Portelli,Alysha Collett,$61,3.7
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",10,10,Forecaster,Forecaster,Forecaster,8,Paul Perry,William Stanley (a-3),$12,2.7
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",11,11,The Mona Lisa,The Mona Lisa,The Mona Lisa,4,Paul & Martha Cave,Andrew Calder,$6.5,5.2
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",13,13,Peace Officer,Peace Officer,Peace Officer,2,Clarry Conners,Tom Sherry,$26,6.9
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",14,14,Piccaderro,Piccaderro,Piccaderro,12,Jason Deamer,Regan Bayliss,$61,4.8
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",16,16,Laspirit Deeler,Laspirit Deeler,Laspirit Deeler,3,Lee & Cherie Curtis,Braith Nock (a-1.5),$126,6.4
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",17,17,Callistemon,Callistemon,Callistemon,14,Kerry Parker,Jay Ford,$19,7.9
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",18,18,Up To Mischief,Up To Mischief,Up To Mischief,11,Jason Deamer,Andrew Adkins,$41,5.3
R2,Randwick,2,11:35 am Midway Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",19,19,Autumn Blonde,Autumn Blonde,Autumn Blonde,1,Mitchell Beer & George Carpenter,Dylan Gibbons,$14,4.2
R3,Randwick,3,12:10 pm Schweppes Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",1,1,Duvana,Duvana,Duvana,6,Nathan Doyle,Regan Bayliss,$19,6.8
R3,Randwick,3,12:10 pm Schweppes Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",2,2,Taka Speed,Taka Speed,Taka Speed,10,Matt Laurie,Braith Nock (a-1.5),$11,4.1
R3,Randwick,3,12:10 pm Schweppes Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",4,4,Nitro,Nitro,Nitro,7,Peter Snowden,Tommy Berry,$2.65,8.1
R3,Randwick,3,12:10 pm Schweppes Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",5,5,Bird Whistle,Bird Whistle,Bird Whistle,3,Brett & Georgie Cavanough,Kerrin McEvoy,$6,2.4
R3,Randwick,3,12:10 pm Schweppes Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",6,6,Covert Thinking,Covert Thinking,Covert Thinking,9,Ciaron Maher,William Stanley (a-3),$29,4.2
R3,Randwick,3,12:10 pm Schweppes Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",7,7,Deepwater Artist,Deepwater Artist,Deepwater Artist,2,Matthew Kelley,Coriah Keatings (a-3),$16,3.4
R3,Randwick,3,12:10 pm Schweppes Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",9,9,Celebrity,Celebrity,Celebrity,8,Bjorn Baker,Dylan Gibbons,$20,1.7
R3,Randwick,3,12:10 pm Schweppes Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",10,10,Dubai Watch,Dubai Watch,Dubai Watch,4,Vincent Hall,Blaike McDougall,$34,9
R3,Randwick,3,12:10 pm Schweppes Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",11,11,Sapphire Rose,Sapphire Rose,Sapphire Rose,5,Bjorn Baker,Ashley Morgan,$13,4
R3,Randwick,3,12:10 pm Schweppes Handicap,1600m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",13,13,Lipstick,Lipstick,Lipstick,1,Chris Waller,Tyler Schiller,$5.5,6.5
R4,Randwick,4,12:45 pm Kia Ora Bloodlines To Headlines Handicap,1300m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",1,1,Hello Captain,Hello Captain,Hello Captain,1,Chris Waller,Nash Rawiller,$1.75,5.7
R4,Randwick,4,12:45 pm Kia Ora Bloodlines To Headlines Handicap,1300m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",2,2,Cheeky Smirk,Cheeky Smirk,Cheeky Smirk,2,Gerald Ryan & Sterling Alexiou,Adam Hyeronimus,$23,4.8
R4,Randwick,4,12:45 pm Kia Ora Bloodlines To Headlines Handicap,1300m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",3,3,Pimlico,Pimlico,Pimlico,9,Tom Charlton,Tommy Berry,$15,3.7
R4,Randwick,4,12:45 pm Kia Ora Bloodlines To Headlines Handicap,1300m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",5,5,Shady Road,Shady Road,Shady Road,7,Annabel & Rob Archibald,Braith Nock (a-1.5),$12,9.6
R4,Randwick,4,12:45 pm Kia Ora Bloodlines To Headlines Handicap,1300m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",6,6,Matima,Matima,Matima,3,Gary Portelli,Alysha Collett,$41,4.4
R4,Randwick,4,12:45 pm Kia Ora Bloodlines To Headlines Handicap,1300m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",7,7,Front Rank,Front Rank,Front Rank,10,Gai Waterhouse & Adrian Bott,Tim Clark,$5.5,1
R4,Randwick,4,12:45 pm Kia Ora Bloodlines To Headlines Handicap,1300m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",9,9,Nandina,Nandina,Nandina,4,Chris Waller,Kerrin McEvoy,$12,6.7
R4,Randwick,4,12:45 pm Kia Ora Bloodlines To Headlines Handicap,1300m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",11,11,Arapawa,Arapawa,Arapawa,6,Brett & Georgie Cavanough,Mollie Fitzgerald (a-3),$34,3.6
R4,Randwick,4,12:45 pm Kia Ora Bloodlines To Headlines Handicap,1300m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",12,12,Crimson Wings,Crimson Wings,Crimson Wings,5,Richard & Will Freedman,Ashley Morgan,$41,3.2
R4,Randwick,4,12:45 pm Kia Ora Bloodlines To Headlines Handicap,1300m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",13,13,Lighthouse Lass,Lighthouse Lass,Lighthouse Lass,8,Richard & Will Freedman,Andrew Adkins,$31,5.2
R5,Randwick,5,1:20 pm B&j Guttering & Metal Roofing Handicap,1800m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",1,1,Bravissima,Bravissima,Bravissima,7,Matthew Dale,Mollie Fitzgerald (a-3),$13,5.1
R5,Randwick,5,1:20 pm B&j Guttering & Metal Roofing Handicap,1800m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",2,2,Amplify,Amplify,Amplify,6,Ciaron Maher,Tim Clark,$16,7.6
R5,Randwick,5,1:20 pm B&j Guttering & Metal Roofing Handicap,1800m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",3,3,Shangri La Impact,Shangri La Impact,Shangri La Impact,2,Tom Charlton,Nash Rawiller,$3.6,2
R5,Randwick,5,1:20 pm B&j Guttering & Metal Roofing Handicap,1800m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",4,4,Pleasure Artist,Pleasure Artist,Pleasure Artist,8,Richard & Will Freedman,Anna Roper (a-2),$61,6.4
R5,Randwick,5,1:20 pm B&j Guttering & Metal Roofing Handicap,1800m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",5,5,Nasebah,Nasebah,Nasebah,4,Chris Waller,Tommy Berry,$2.25,6
R5,Randwick,5,1:20 pm B&j Guttering & Metal Roofing Handicap,1800m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",6,6,Fay's Angels,Fay's Angels,Fay's Angels,11,Karen Owen,Winona Costin,$151,6.4
R5,Randwick,5,1:20 pm B&j Guttering & Metal Roofing Handicap,1800m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",7,7,Allegro Miss,Allegro Miss,Allegro Miss,5,Con Karakatsanis,Jay Ford,$51,8.1
R5,Randwick,5,1:20 pm B&j Guttering & Metal Roofing Handicap,1800m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",8,8,Horizons,Horizons,Horizons,1,Richard & Will Freedman,Chad Schofield,$8,5.3
R5,Randwick,5,1:20 pm B&j Guttering & Metal Roofing Handicap,1800m,Handicap,Soft 5,"+6m 1000m-W/Post, +5m Remainder",9,9,Let's Fly,Let's Fly,Let's Fly,3,Richard & Will Freedman,Braith Nock (a-1.5),$19,5.9
