race_no,race_name,distance,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,1,Smoke 'N' Darts,Smoke 'N' Darts,Smoke 'N' Darts,15,Blake Ryan,Jay Ford,60.5kg,$4.4,false
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,3,Charm Destination,Charm Destination,Charm Destination,8,Kristen Buchanan,Olivia Chambers (a-2),59kg,$10,false
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,5,Escargoes,Escargoes,Escargoes,2,Brad Widdup,Tommy Berry,58kg,$2.3,false
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,6,Artfull,Artfull,Artfull,6,Sara Ryan,Reece Jones,57.5kg,$41,false
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,7,Last Tour,Last Tour,Last Tour,11,Brad Widdup,Leeshelle Small (a-3),57.5kg,$16,false
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,8,Bangelz,Bangelz,Bangelz,4,Terry Croft,Siena Grima (a-2),57kg,$51,false
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,9,Conjola Girl,Conjola Girl,Conjola Girl,1,Edward O'Rourke,Rachel King,57kg,$19,false
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,11,Spearpoint,Spearpoint,Spearpoint,3,Kristen Buchanan,Mollie Fitzgerald (a-1.5),57kg,$16,false
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,12,Winning Lover,Winning Lover,Winning Lover,7,Sara Ryan,Lee Magorrian,57kg,$6,false
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,14,Galactic Force,Galactic Force,Galactic Force,5,Sara Ryan,Alysha Collett,56kg,$11,false
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,15,Bold Alliance,Bold Alliance,Bold Alliance,10,Blake Ryan,Emma Ly (a-3),55kg,$34,false
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,2,Mega Pixel,Mega Pixel,Mega Pixel,12,Kris Lees,Kerrin McEvoy,59.5kg,SCR,true
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,4,Zouboy,Zouboy,Zouboy,13,,Nathan Doyle,59kg,SCR,true
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,10,Legacy Prevailed,Legacy Prevailed,Legacy Prevailed,14,,Kristen Buchanan,57kg,SCR,true
4,2:50 pm Palin Management Provincial 3yo Maiden Handicap,1100m,13,Kitsune Vixen,Kitsune Vixen,Kitsune Vixen,9,,Kristen Buchanan,55kg,SCR,true
5,3:25 pm Griffo Cup F&m Benchmark 64 Handicap,1100m,1,Raskol,Raskol,Raskol,8,Peter Snowden,Tommy Berry,61kg,$3.3,false
5,3:25 pm Griffo Cup F&m Benchmark 64 Handicap,1100m,2,Into Brooklyn,Into Brooklyn,Into Brooklyn,4,Nathan Doyle,Liberty Smyth (a-3),60.5kg,$4.8,false
5,3:25 pm Griffo Cup F&m Benchmark 64 Handicap,1100m,3,Nullarbor Jane,Nullarbor Jane,Nullarbor Jane,5,John Sargent,Siena Grima (a-2),60kg,$5.5,false
5,3:25 pm Griffo Cup F&m Benchmark 64 Handicap,1100m,5,Tides Turning,Tides Turning,Tides Turning,1,Terry Croft,Mollie Fitzgerald (a-1.5),59kg,$19,false
5,3:25 pm Griffo Cup F&m Benchmark 64 Handicap,1100m,6,Purple Rose,Purple Rose,Purple Rose,10,John Thompson,Sam Clipperton,58.5kg,$11,false
5,3:25 pm Griffo Cup F&m Benchmark 64 Handicap,1100m,7,Singing Star,Singing Star,Singing Star,3,Damien Lane,Alysha Collett,58kg,$18,false
5,3:25 pm Griffo Cup F&m Benchmark 64 Handicap,1100m,8,Tennessee Dolly,Tennessee Dolly,Tennessee Dolly,7,Richard Litt,Chad Schofield,58kg,$4.4,false
5,3:25 pm Griffo Cup F&m Benchmark 64 Handicap,1100m,10,River Pat,River Pat,River Pat,2,Kim Waugh,Keagan Latham,57kg,$8,false
5,3:25 pm Griffo Cup F&m Benchmark 64 Handicap,1100m,4,Voltage Lass,Voltage Lass,Voltage Lass,9,Danielle Seib,Rachel King,59.5kg,SCR,true
5,3:25 pm Griffo Cup F&m Benchmark 64 Handicap,1100m,9,Farnciful,Farnciful,Farnciful,6,Jason Deamer,Dylan Gibbons,57kg,SCR,true
6,4:05 pm Hudson Trade Centre Mitre 10 Cg&e Benchmark 64 Handicap,1100m,1,Desi Emperor,Desi Emperor,Desi Emperor,7,Tommy Wong,Jeff Penza,61.5kg,$8.5,false
6,4:05 pm Hudson Trade Centre Mitre 10 Cg&e Benchmark 64 Handicap,1100m,3,Sociable,Sociable,Sociable,9,Ciaron Maher,Zac Lloyd,61kg,$2.1,false
6,4:05 pm Hudson Trade Centre Mitre 10 Cg&e Benchmark 64 Handicap,1100m,4,Starros,Starros,Starros,3,Terry Croft,Mollie Fitzgerald (a-1.5),59.5kg,$19,false
6,4:05 pm Hudson Trade Centre Mitre 10 Cg&e Benchmark 64 Handicap,1100m,5,Myriad,Myriad,Myriad,6,Nathan Doyle,Lee Magorrian,59kg,$3.8,false
6,4:05 pm Hudson Trade Centre Mitre 10 Cg&e Benchmark 64 Handicap,1100m,6,Ima Capri,Ima Capri,Ima Capri,2,Sara Ryan,Andrew Adkins,56kg,$12,false
