assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,wet_body_type,wet_feet,notes,total_positive,total_negative,net,updated_at
R6-6,R6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,6,Insane Volt,4,John Rolfe,Jessica Taylor,$11,,,,,,,0,0,0,
R6-7,R6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,7,Santolini,10,Garry Kirkup Rebecca,Bronett Prag,$6.5,,,,,,,0,0,0,
R6-8,R6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,8,Wrong Footed,9,Rex Cole,Quayde Krogh,$20,,,,,,,0,0,0,
R6-10,R6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,10,Spiritual Mystery,7,Darryl Rolfe,Jeff Penza,$27,,,,,,,0,0,0,
R6-11,R6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,11,Sogeri,6,John Rolfe,Rochelle Wedrat-kroezen (a-2),$31,,,,,,,0,0,0,
R7-2,R7,4:15 pm Country Motor Company Benchmark 66 Handicap,2,Soul Lady,1,Joe Cleary,Keagan Latham,$3,,,,,,,0,0,0,
R7-3,R7,4:15 pm Country Motor Company Benchmark 66 Handicap,3,Spiritualistic,11,Mitchell Beer & George Carpenter,Adam Farragher,$3.3,,,,,,,0,0,0,
R7-5,R7,4:15 pm Country Motor Company Benchmark 66 Handicap,5,Brannum,12,Theresa Bateup,Amy McLucas,$18,,,,,,,0,0,0,
R7-6,R7,4:15 pm Country Motor Company Benchmark 66 Handicap,6,Lightning Speed,2,Todd Smart,Sairyn Fawke,$7,,,,,,,0,0,0,
R7-7,R7,4:15 pm Country Motor Company Benchmark 66 Handicap,7,Star Bling,9,Nick Olive,Shaun Guymer,$6.5,,,,,,,0,0,0,
R7-8,R7,4:15 pm Country Motor Company Benchmark 66 Handicap,8,More Mischief,4,Amanda Turner,Winona Costin,$11,,,,,,,0,0,0,
R7-12,R7,4:15 pm Country Motor Company Benchmark 66 Handicap,12,Ulysses Blue,5,Terry Robinson,Jeff Penza,$7.5,,,,,,,0,0,0,
