race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
4,2:25 pm Tige's Tiles Maiden Handicap,2:25 pm,1400m,Nowra,Maiden,Heavy 8,True,1,Feazabeel,Feazabeel,Feazabeel,7,Annabel & Rob Archibald,Mollie Fitzgerald,59kg,$3,false
4,2:25 pm Tige's Tiles Maiden Handicap,2:25 pm,1400m,Nowra,Maiden,Heavy 8,True,2,Royal And Ready,Royal And Ready,Royal And Ready,5,Matthew Smith,Andrew Calder,59kg,$2.9,false
4,2:25 pm Tige's Tiles Maiden Handicap,2:25 pm,1400m,Nowra,Maiden,Heavy 8,True,3,Rouladen,Rouladen,Rouladen,9,Mitchell Beer & George Carpenter,Robyn Freeman,58.5kg,$6.5,false
4,2:25 pm Tige's Tiles Maiden Handicap,2:25 pm,1400m,Nowra,Maiden,Heavy 8,True,4,Arizona Loner,Arizona Loner,Arizona Loner,2,John Thompson,Brock Ryan,58kg,$4.4,false
4,2:25 pm Tige's Tiles Maiden Handicap,2:25 pm,1400m,Nowra,Maiden,Heavy 8,True,5,Atossa,Atossa,Atossa,10,Theresa Bateup,Amy McLucas,57kg,$21,false
4,2:25 pm Tige's Tiles Maiden Handicap,2:25 pm,1400m,Nowra,Maiden,Heavy 8,True,7,Flying Giselle,Flying Giselle,Flying Giselle,8,Marc & Mitchell Conners,Deanne Panya,55kg,$14,false
4,2:25 pm Tige's Tiles Maiden Handicap,2:25 pm,1400m,Nowra,Maiden,Heavy 8,True,9,Goddess Minerva,Goddess Minerva,Goddess Minerva,6,Terry Robinson,Jeff Penza,55kg,$27,false
4,2:25 pm Tige's Tiles Maiden Handicap,2:25 pm,1400m,Nowra,Maiden,Heavy 8,True,10,Medieval Mayhem,Medieval Mayhem,Medieval Mayhem,1,Graham Brown,Sairyn Fawke,55kg,$151,false
4,2:25 pm Tige's Tiles Maiden Handicap,2:25 pm,1400m,Nowra,Maiden,Heavy 8,True,11,Second Deb,Second Deb,Second Deb,3,John Steinmetz,Adrian Layt,55kg,$126,false
4,2:25 pm Tige's Tiles Maiden Handicap,2:25 pm,1400m,Nowra,Maiden,Heavy 8,True,6,Michonne's Katana,Michonne's Katana,Michonne's Katana,11,Gerald Ryan & Sterling Alexiou,Jay Ford,56kg,SCR,true
4,2:25 pm Tige's Tiles Maiden Handicap,2:25 pm,1400m,Nowra,Maiden,Heavy 8,True,8,Follow That Dream,Follow That Dream,Follow That Dream,4,Jarrod Austin,Jessica Taylor,55kg,SCR,true
5,3:05 pm Shire Law Benchmark 58 Handicap,3:05 pm,1400m,Nowra,BM58,Heavy 8,True,1,A Book Of Days,A Book Of Days,A Book Of Days,6,John Rolfe,Rochelle Wedrat-kroezen (a-2),62.5kg,$7,false
5,3:05 pm Shire Law Benchmark 58 Handicap,3:05 pm,1400m,Nowra,BM58,Heavy 8,True,2,Ferrari Man,Ferrari Man,Ferrari Man,9,Andrew Bourke,Dale Cole (a-2),61.5kg,$26,false
5,3:05 pm Shire Law Benchmark 58 Handicap,3:05 pm,1400m,Nowra,BM58,Heavy 8,True,4,Shezain,Shezain,Shezain,4,Keith Dryden & Libby Snowden,Jessica Brookes (a-2),61kg,$3.2,false
