race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R4,Hawkesbury,4,2:05 pm Syngenta Trefinti Provincial Maiden Handicap,1600m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",3,3,Aurora Effect,Aurora Effect,Aurora Effect,6,Edward Cummings,Jay Ford,$3.9,4.5
R4,Hawkesbury,4,2:05 pm Syngenta Trefinti Provincial Maiden Handicap,1600m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",5,5,Hellfighter,Hellfighter,Hellfighter,12,Nathan Doyle,Tommy Berry,$2.1,7.2
R4,Hawkesbury,4,2:05 pm Syngenta Trefinti Provincial Maiden Handicap,1600m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",6,6,Pawa,Pawa,Pawa,1,Edward O'Rourke,Rachel King,$16,3.2
R4,Hawkesbury,4,2:05 pm Syngenta Trefinti Provincial Maiden Handicap,1600m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",7,7,Satono Jasmine,Satono Jasmine,Satono Jasmine,10,Brad Widdup,Leeshelle Small (a-3),$8.5,4.7
R4,Hawkesbury,4,2:05 pm Syngenta Trefinti Provincial Maiden Handicap,1600m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",8,8,Belgrano,Belgrano,Belgrano,5,Darryll Kell,Chad Lever (a0.5),$41,4.4
R4,Hawkesbury,4,2:05 pm Syngenta Trefinti Provincial Maiden Handicap,1600m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",9,9,Heliconia,Heliconia,Heliconia,2,Kerry Parker Rebecca,Bronett Prag (a-3),$15,6.1
R4,Hawkesbury,4,2:05 pm Syngenta Trefinti Provincial Maiden Handicap,1600m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",10,10,Irulan,Irulan,Irulan,3,Jason Attard,Tom Sherry,$41,5.6
R4,Hawkesbury,4,2:05 pm Syngenta Trefinti Provincial Maiden Handicap,1600m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",11,11,Propane,Propane,Propane,4,Kim Waugh,Ashley Morgan,$26,5.2
R4,Hawkesbury,4,2:05 pm Syngenta Trefinti Provincial Maiden Handicap,1600m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",12,12,Senza Rivali,Senza Rivali,Senza Rivali,9,Kristen Buchanan,Shannen Llewellyn (a-2),$34,8.2
R5,Hawkesbury,5,2:40 pm Adama Midway Class 1 Handicap,1600m,Class 1,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",1,1,Above The Law,Above The Law,Above The Law,2,Mitchell Beer & George Carpenter,Dylan Gibbons,$1.65,2.6
R5,Hawkesbury,5,2:40 pm Adama Midway Class 1 Handicap,1600m,Class 1,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",3,3,Clear Blue Day,Clear Blue Day,Clear Blue Day,5,Richard & Will Freedman,Lee Magorrian,$8.5,4.7
R5,Hawkesbury,5,2:40 pm Adama Midway Class 1 Handicap,1600m,Class 1,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",4,4,Brannum,Brannum,Brannum,3,Theresa Bateup,Keagan Latham,$23,2.8
R5,Hawkesbury,5,2:40 pm Adama Midway Class 1 Handicap,1600m,Class 1,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",5,5,Flying Grey,Flying Grey,Flying Grey,7,Brad Widdup,Christian Reith,$12,5
