meeting,race_no,finisher_position,position_code,sp,lane_group
Rosehill Gardens · 2026-06-27,R1,1,2,5,Running Line
Rosehill Gardens · 2026-06-27,R1,2,7,41,Rail
Rosehill Gardens · 2026-06-27,R1,3,3,9,Rail
Rosehill Gardens · 2026-06-27,R1,4,5,6,Rail
Rosehill Gardens · 2026-06-27,R2,1,1,7.5,Rail
Rosehill Gardens · 2026-06-27,R2,2,3,31,Rail
Rosehill Gardens · 2026-06-27,R2,3,9,23,Rail
Rosehill Gardens · 2026-06-27,R2,4,35,3.8,3 Wide
Rosehill Gardens · 2026-06-27,R3,1,7,17,Rail
Rosehill Gardens · 2026-06-27,R3,2,2,4.8,Running Line
Rosehill Gardens · 2026-06-27,R3,3,1,8,Rail
Rosehill Gardens · 2026-06-27,R3,4,4,9,Running Line
Rosehill Gardens · 2026-06-27,R4,1,3,3.7,Rail
Rosehill Gardens · 2026-06-27,R4,2,1,2.6,Rail
Rosehill Gardens · 2026-06-27,R4,3,5,5,Rail
Rosehill Gardens · 2026-06-27,R4,4,7,41,Rail
Rosehill Gardens · 2026-06-27,R5,1,5,2.6,Rail
Rosehill Gardens · 2026-06-27,R5,2,3,9,Rail
Rosehill Gardens · 2026-06-27,R5,3,9,19,Rail
Rosehill Gardens · 2026-06-27,R5,4,7,7.5,Rail
Rosehill Gardens · 2026-06-27,R6,1,6,2,Running Line
Rosehill Gardens · 2026-06-27,R6,2,9,6,Rail
Rosehill Gardens · 2026-06-27,R6,3,7,101,Rail
Rosehill Gardens · 2026-06-27,R6,4,1,7,Rail
Rosehill Gardens · 2026-06-27,R7,1,7,13,Rail
Rosehill Gardens · 2026-06-27,R7,2,5,11,Rail
Rosehill Gardens · 2026-06-27,R7,3,9,34,Rail
Rosehill Gardens · 2026-06-27,R7,4,11,8,Rail
Rosehill Gardens · 2026-06-27,R8,1,1,34,Rail
Rosehill Gardens · 2026-06-27,R8,2,9,11,Rail
Rosehill Gardens · 2026-06-27,R8,3,11,2.8,Rail
Rosehill Gardens · 2026-06-27,R8,4,3,4,Rail
Rosehill Gardens · 2026-06-27,R9,1,1,19,Rail
Rosehill Gardens · 2026-06-27,R9,2,5,10,Rail
Rosehill Gardens · 2026-06-27,R9,3,6,13,Running Line
Rosehill Gardens · 2026-06-27,R9,4,3,3.1,Rail
Rosehill Gardens · 2026-06-27,R10,1,11,9,Rail
Rosehill Gardens · 2026-06-27,R10,2,9,6,Rail
Rosehill Gardens · 2026-06-27,R10,3,5,5,Rail
Rosehill Gardens · 2026-06-27,R10,4,7,19,Rail
