race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Randwick,1,11:00 am Kia Ora Bloodlines To Headlines Handicap,1100m,Handicap,Soft 6,+3m Entire,1,1,Seeiaye,Seeiaye,Seeiaye,8,Peter Snowden,Joshua Parr,$5.5,5.5
R1,Randwick,1,11:00 am Kia Ora Bloodlines To Headlines Handicap,1100m,Handicap,Soft 6,+3m Entire,2,2,Lord Horatio,Lord Horatio,Lord Horatio,3,Tom Charlton,Dylan Gibbons,$3.8,1
R1,Randwick,1,11:00 am Kia Ora Bloodlines To Headlines Handicap,1100m,Handicap,Soft 6,+3m Entire,5,5,Rebel Royal,Rebel Royal,Rebel Royal,10,Gai Waterhouse & Adrian Bott,Adam Hyeronimus (a1),$7.5,NA
R1,Randwick,1,11:00 am Kia Ora Bloodlines To Headlines Handicap,1100m,Handicap,Soft 6,+3m Entire,6,6,Rumdabar,Rumdabar,Rumdabar,12,Kris Lees,William Stanley (a-3),$20,NA
R1,Randwick,1,11:00 am Kia Ora Bloodlines To Headlines Handicap,1100m,Handicap,Soft 6,+3m Entire,7,7,Why So Hard,Why So Hard,Why So Hard,13,"Michael, John & Wayne Hawkes",Tyler Schiller (a-1.5),$6,NA
R1,Randwick,1,11:00 am Kia Ora Bloodlines To Headlines Handicap,1100m,Handicap,Soft 6,+3m Entire,8,8,Wootton You Know,Wootton You Know,Wootton You Know,4,Stuart Kendrick,Siena Grima (a-2),$11,2
R1,Randwick,1,11:00 am Kia Ora Bloodlines To Headlines Handicap,1100m,Handicap,Soft 6,+3m Entire,9,9,Like An Eagle,Like An Eagle,Like An Eagle,7,Gerald Ryan & Sterling Alexiou,Andrew Adkins,$21,14
R1,Randwick,1,11:00 am Kia Ora Bloodlines To Headlines Handicap,1100m,Handicap,Soft 6,+3m Entire,10,10,Shuda Known,Shuda Known,Shuda Known,11,Kris Lees,Kerrin McEvoy,$14,12
R1,Randwick,1,11:00 am Kia Ora Bloodlines To Headlines Handicap,1100m,Handicap,Soft 6,+3m Entire,11,11,Seductra,Seductra,Seductra,2,Richard & Will Freedman,Chad Schofield (a1),$26,3.9
R1,Randwick,1,11:00 am Kia Ora Bloodlines To Headlines Handicap,1100m,Handicap,Soft 6,+3m Entire,12,12,Sweet Leaf,Sweet Leaf,Sweet Leaf,1,Brett & Georgie Cavanough Braith,Nock A (a-1.5),$19,3
R1,Randwick,1,11:00 am Kia Ora Bloodlines To Headlines Handicap,1100m,Handicap,Soft 6,+3m Entire,13,13,Krasina,Krasina,Krasina,5,David Payne,Ashley Morgan,$9.5,7.3
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,1,1,Promitto,Promitto,Promitto,2,David Atkins,Aaron Bullock,$19,4.7
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,5,5,Captain Fenkel,Captain Fenkel,Captain Fenkel,14,Mitchell Beer & George Carpenter,Dylan Gibbons,$18,3.8
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,6,6,Is It Spectacular,Is It Spectacular,Is It Spectacular,5,Nacim Dilmi,Kerrin McEvoy,$7,4.6
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,7,7,Forecaster,Forecaster,Forecaster,7,Paul Perry,William Stanley (a-3),$19,2.8
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,9,9,Perfect Justice,Perfect Justice,Perfect Justice,11,John Sargent,Siena Grima (a-2),$3.8,5.7
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,10,10,The Mona Lisa,The Mona Lisa,The Mona Lisa,12,Paul & Martha Cave,Andrew Calder,$9.5,5.1
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,11,11,Horizons,Horizons,Horizons,1,Richard & Will Freedman,Chad Schofield,$8,5.6
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,12,12,Callistemon,Callistemon,Callistemon,4,Kerry Parker,Andrew Adkins,$6.5,8.1
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,13,13,Tom Cruising,Tom Cruising,Tom Cruising,17,Kerry Parker,Winona Costin,$61,6.5
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,14,14,Whoa Nellie,Whoa Nellie,Whoa Nellie,9,Brad Widdup,Tyler Schiller,$7,4.8
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,15,15,Highborn Harry,Highborn Harry,Highborn Harry,8,David Payne,Alysha Collett,$12,8.2
R2,Randwick,2,11:35 am Midway Handicap,1500m,Handicap,Soft 6,+3m Entire,16,16,Sunsource,Sunsource,Sunsource,6,Robert Quinn,Adam Farragher,$91,7
R3,Randwick,3,12:10 pm Tab Highway Handicap,1100m,Handicap,Soft 6,+3m Entire,1,1,First Landing,First Landing,First Landing,7,John Sprague,Aaron Bullock,$19,7.4
R3,Randwick,3,12:10 pm Tab Highway Handicap,1100m,Handicap,Soft 6,+3m Entire,2,2,Kreon,Kreon,Kreon,16,Danny Williams,Anna Roper (a-2),$27,6.1
