race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,1,Seeiaye,Seeiaye,Seeiaye,8,Peter Snowden,Joshua Parr,58kg,$5.5,false
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,2,Lord Horatio,Lord Horatio,Lord Horatio,3,Tom Charlton,Dylan Gibbons,57.5kg,$3.8,false
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,5,Rebel Royal,Rebel Royal,Rebel Royal,10,Gai Waterhouse & Adrian Bott,Adam Hyeronimus (a1),56kg,$7.5,false
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,6,Rumdabar,Rumdabar,Rumdabar,12,Kris Lees,William Stanley (a-3),56kg,$20,false
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,7,Why So Hard,Why So Hard,Why So Hard,13,"Michael, John & Wayne Hawkes",Tyler Schiller (a-1.5),56kg,$6,false
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,8,Wootton You Know,Wootton You Know,Wootton You Know,4,Stuart Kendrick,Siena Grima (a-2),56kg,$11,false
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,9,Like An Eagle,Like An Eagle,Like An Eagle,7,Gerald Ryan & Sterling Alexiou,Andrew Adkins,55.5kg,$21,false
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,10,Shuda Known,Shuda Known,Shuda Known,11,Kris Lees,Kerrin McEvoy,55kg,$14,false
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,11,Seductra,Seductra,Seductra,2,Richard & Will Freedman,Chad Schofield (a1),54kg,$26,false
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,12,Sweet Leaf,Sweet Leaf,Sweet Leaf,1,Brett & Georgie Cavanough Braith,Nock A (a-1.5),54kg,$19,false
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,13,Krasina,Krasina,Krasina,5,David Payne,Ashley Morgan,54kg,$9.5,false
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,3,Lady Catalina,Lady Catalina,Lady Catalina,6,Ciaron Maher,Adam Farragher,56kg,SCR,true
1,11:00 am Kia Ora Bloodlines To Headlines Handicap,11:00 am,1100m,Randwick,Handicap,Soft 6,+3m Entire,4,Klocke,Klocke,Klocke,9,Chris Waller,Sam Clipperton,56kg,SCR,true
2,11:35 am Midway Handicap,11:35 am,1500m,Randwick,Handicap,Soft 6,+3m Entire,1,Promitto,Promitto,Promitto,2,David Atkins,Aaron Bullock,63.5kg,$19,false
2,11:35 am Midway Handicap,11:35 am,1500m,Randwick,Handicap,Soft 6,+3m Entire,5,Captain Fenkel,Captain Fenkel,Captain Fenkel,14,Mitchell Beer & George Carpenter,Dylan Gibbons,60.5kg,$18,false
2,11:35 am Midway Handicap,11:35 am,1500m,Randwick,Handicap,Soft 6,+3m Entire,6,Is It Spectacular,Is It Spectacular,Is It Spectacular,5,Nacim Dilmi,Kerrin McEvoy,57.5kg,$7,false
2,11:35 am Midway Handicap,11:35 am,1500m,Randwick,Handicap,Soft 6,+3m Entire,7,Forecaster,Forecaster,Forecaster,7,Paul Perry,William Stanley (a-3),57kg,$19,false
2,11:35 am Midway Handicap,11:35 am,1500m,Randwick,Handicap,Soft 6,+3m Entire,9,Perfect Justice,Perfect Justice,Perfect Justice,11,John Sargent,Siena Grima (a-2),57kg,$3.8,false
