race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Rosehill Gardens,1,11:45 am Midway Handicap,1800m,Handicap,Soft 5,+3m Entire,Fine,5.28,Going Stick 9.4; Shear 12.3,1,1,Federal Reserve,Federal Reserve,Federal Reserve,5,Nacim Dilmi,Tommy Berry,$5,4.5,racenet
R1,Rosehill Gardens,1,11:45 am Midway Handicap,1800m,Handicap,Soft 5,+3m Entire,Fine,5.28,Going Stick 9.4; Shear 12.3,2,2,Fabrice,Fabrice,Fabrice,5,Tracey Bartley,Mitchell Bell,$61,5.2,racenet
R1,Rosehill Gardens,1,11:45 am Midway Handicap,1800m,Handicap,Soft 5,+3m Entire,Fine,5.28,Going Stick 9.4; Shear 12.3,3,3,Doradus,Doradus,Doradus,9,John Thompson,Zac Lloyd,$3.5,2.5,racenet
R1,Rosehill Gardens,1,11:45 am Midway Handicap,1800m,Handicap,Soft 5,+3m Entire,Fine,5.28,Going Stick 9.4; Shear 12.3,4,4,So Rebellious,So Rebellious,So Rebellious,10,Gary Portelli,Andrew Adkins,$31,6.1,racenet
R1,Rosehill Gardens,1,11:45 am Midway Handicap,1800m,Handicap,Soft 5,+3m Entire,Fine,5.28,Going Stick 9.4; Shear 12.3,5,5,Orange Tsunami,Orange Tsunami,Orange Tsunami,11,Richard & Will Freedman,Sam Clipperton,$20,2.5,racenet
R1,Rosehill Gardens,1,11:45 am Midway Handicap,1800m,Handicap,Soft 5,+3m Entire,Fine,5.28,Going Stick 9.4; Shear 12.3,6,6,Flying Arabesque,Flying Arabesque,Flying Arabesque,4,Ross McConville,Alysha Collett,$41,4.5,racenet
R1,Rosehill Gardens,1,11:45 am Midway Handicap,1800m,Handicap,Soft 5,+3m Entire,Fine,5.28,Going Stick 9.4; Shear 12.3,7,7,Lugarno,Lugarno,Lugarno,6,John Thompson,Regan Bayliss,$51,2.7,racenet
R1,Rosehill Gardens,1,11:45 am Midway Handicap,1800m,Handicap,Soft 5,+3m Entire,Fine,5.28,Going Stick 9.4; Shear 12.3,8,8,The Iron Star,The Iron Star,The Iron Star,3,Marc Chevalier,Tyler Schiller,$5.5,7.2,racenet
R1,Rosehill Gardens,1,11:45 am Midway Handicap,1800m,Handicap,Soft 5,+3m Entire,Fine,5.28,Going Stick 9.4; Shear 12.3,9,9,Mr Fabulous,Mr Fabulous,Mr Fabulous,8,Theresa Bateup,Molly Bourke (a-1.5),$51,6.4,racenet
R1,Rosehill Gardens,1,11:45 am Midway Handicap,1800m,Handicap,Soft 5,+3m Entire,Fine,5.28,Going Stick 9.4; Shear 12.3,10,10,Proxima Dea,Proxima Dea,Proxima Dea,7,David Payne,Braith Nock (a-1.5),$4.2,1.7,racenet
