assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,notes,total_positive,total_negative,net,updated_at
R5-2,R5,3:10 pm Schweppes Handicap,2,Just Flying,15,Robert Heathcote,Coriah Keatings (a-3),$19,"{""Healthy+"":1}",{},{},,1,0,1,2026-05-21T00:15:31.471Z
R5-3,R5,3:10 pm Schweppes Handicap,3,Majorian,2,Annabel & Rob Archibald,Braith Nock (a-1.5),$29,{},{},"{""FT"":[3,4]}",,0,0,0,2026-05-21T00:16:03.600Z
R5-4,R5,3:10 pm Schweppes Handicap,4,Subarctic,13,Matthew Smith,Tyler Schiller,$19,{},{},"{""FT"":[4]}",,0,0,0,2026-05-21T00:16:22.587Z
R5-5,R5,3:10 pm Schweppes Handicap,5,Black Babylon,4,Annabel & Rob Archibald,Tom Sherry,$16,,,,,0,0,0,
R5-6,R5,3:10 pm Schweppes Handicap,6,Blacklist,5,Mack Griffith,Tim Clark,$10,"{""Healthy+"":1}","{""BH-"":-1}",{},,1,1,0,2026-05-21T00:15:40.414Z
R5-8,R5,3:10 pm Schweppes Handicap,8,So Suave,1,Chris Waller,James McDonald,$2.80,,,,,0,0,0,
R5-9,R5,3:10 pm Schweppes Handicap,9,Natoya,10,John Sargent,Zac Lloyd,$9.50,,,,,0,0,0,
R5-11,R5,3:10 pm Schweppes Handicap,11,Dolce Dior,7,Peter Snowden,Mitch Stapleford (a-3),$18,,,,,0,0,0,
R5-12,R5,3:10 pm Schweppes Handicap,12,California Grass,12,John Thompson,Alysha Collett,$21,,,,,0,0,0,
R5-13,R5,3:10 pm Schweppes Handicap,13,Michelangelo,3,Dean Mirfin,Rachel King,$12,"{""Healthy+"":1}",{},{},,1,0,1,2026-05-21T00:15:50.408Z
R5-15,R5,3:10 pm Schweppes Handicap,15,Lupa Capitolina,8,Joseph Pride,Kerrin McEvoy,$5.50,"{""Dapple+"":1}",{},{},,1,0,1,2026-05-21T00:15:55.947Z
R6-1,R6,3:45 pm Asahi Super Dry Handicap,1,Glorious Moments,14,Jim & Greg Lee,James McDonald,$2.25,{},{},{},Wet type,0,0,0,2026-05-21T00:16:57.242Z
R6-5,R6,3:45 pm Asahi Super Dry Handicap,5,Madrina,12,Nick Olive,Coriah Keatings (a-3),$9,"{""BH+"":1}",{},{},,1,0,1,2026-05-21T00:17:02.356Z
R6-6,R6,3:45 pm Asahi Super Dry Handicap,6,Formal,5,Nathan Doyle,Shannen Llewellyn (a-3),$18,{},"{""Dull-"":-1}",{},,0,1,-1,2026-05-21T00:17:06.569Z
R6-10,R6,3:45 pm Asahi Super Dry Handicap,10,Heuristic,10,Bjorn Baker,Dylan Gibbons,$15,,,,,0,0,0,
R6-13,R6,3:45 pm Asahi Super Dry Handicap,13,Confidentiality,9,Joseph Pride,Sam Clipperton,$2.70,,,,,0,0,0,
R6-15,R6,3:45 pm Asahi Super Dry Handicap,15,Silencio Porfavor,2,Matthew Smith,Zac Lloyd,$8,,,,,0,0,0,
R6-16,R6,3:45 pm Asahi Super Dry Handicap,16,Lady Shenanigans,17,Mitchell & Desiree Kearney,Jeff Penza,$91,{},{},"{""FT"":[1,2,3,4]}",,0,0,0,2026-05-21T00:17:15.231Z
R7-2,R7,4:20 pm The Agency Real Estate Handicap,2,Island Dream,2,Chris Waller,James McDonald,$11,,,,,0,0,0,
R7-3,R7,4:20 pm The Agency Real Estate Handicap,3,Pimlico,22,Tom Charlton,Zac Lloyd,$6,,,,,0,0,0,
R7-4,R7,4:20 pm The Agency Real Estate Handicap,4,Supermassive,17,Gai Waterhouse & Adrian Bott,Tim Clark,$5,{},"{""BH-"":-1}",{},,0,1,-1,2026-05-21T00:17:21.924Z
R7-5,R7,4:20 pm The Agency Real Estate Handicap,5,Deep Pleasure,14,Mick Price & Michael Kent Jnr,Braith Nock (a-1.5),$7,,,,,0,0,0,
R7-6,R7,4:20 pm The Agency Real Estate Handicap,6,Rimbaud,5,Annabel & Rob Archibald,Mollie Fitzgerald (a-3),$19,,,,,0,0,0,
R7-7,R7,4:20 pm The Agency Real Estate Handicap,7,John Dory,3,Chris Waller,Siena Grima (a-3),$21,,,,,0,0,0,
R7-8,R7,4:20 pm The Agency Real Estate Handicap,8,Ornithology,13,Chris Waller,Nash Rawiller,$23,,,,,0,0,0,
R7-9,R7,4:20 pm The Agency Real Estate Handicap,9,Pasadena,1,"Michael, John & Wayne Hawkes",Tyler Schiller,$6,"{""BH+"":1,""Healthy+"":1}",{},{},,2,0,2,2026-05-21T00:17:28.845Z
R7-10,R7,4:20 pm The Agency Real Estate Handicap,10,Sanctified,15,Gerald Ryan & Sterling Alexiou,Joshua Parr,$10,{},"{""BH-"":-1}",{},,0,1,-1,2026-05-21T00:17:34.203Z
R7-13,R7,4:20 pm The Agency Real Estate Handicap,13,Condone,10,Gai Waterhouse & Adrian Bott,Adam Hyeronimus,$7.50,"{""Dapple+"":1}",{},{},,1,0,1,2026-05-21T00:17:38.846Z
R7-14,R7,4:20 pm The Agency Real Estate Handicap,14,Elle Hudson,18,Joseph Pride,Sam Clipperton,$51,,,,,0,0,0,
R7-19,R7,4:20 pm The Agency Real Estate Handicap,19,Bon Frankie,8,Aaron Clarke,Amy McLucas,$31,,,,,0,0,0,
