race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,5,Bruce I Am,Bruce I Am,Bruce I Am,7,Joseph Pride,Nash Rawiller,60kg,$4.2,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,6,Fairway To Heaven,Fairway To Heaven,Fairway To Heaven,9,Michael Freedman,Tim Clark,60kg,$5,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,7,Hello Captain,Hello Captain,Hello Captain,4,Chris Waller,James McDonald,59kg,$2.5,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,8,Nandina,Nandina,Nandina,2,Chris Waller,Kerrin McEvoy,59kg,$8,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,10,Wootton Way,Wootton Way,Wootton Way,3,Chris Waller,Zac Lloyd,58.5kg,$7,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,11,Lune D'excellence,Lune D'excellence,Lune D'excellence,6,Kris Lees,Dylan Gibbons,56kg,$31,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,1,Take The Rap,Take The Rap,Take The Rap,5,Norm Gardner Rebecca,Bronett Prag (a-3),63kg,SCR,true
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,2,President,President,President,8,,Jason Coyle,62.5kg,SCR,true
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,4,Margin Call,Margin Call,Margin Call,11,Ciaron Maher,Adam Farragher,61kg,SCR,true
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,9,Attractiveness,Attractiveness,Attractiveness,10,Richard & Will Freedman,Chad Schofield,58.5kg,SCR,true
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,1,The Creator,The Creator,The Creator,10,Mick Price & Michael Kent Jnr,Anna Roper (a-2),62.5kg,$9,false
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,3,Hovland,Hovland,Hovland,11,Tom Charlton,Zac Lloyd,59.5kg,$6,false
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,5,Scalextrics,Scalextrics,Scalextrics,4,Matthew Smith,Kerrin McEvoy,59kg,$10,false
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,6,Mojave River,Mojave River,Mojave River,6,Chris Waller,James McDonald,58.5kg,$4.5,false
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,7,Sting In The Tail,Sting In The Tail,Sting In The Tail,3,Chris Waller,Tommy Berry,58.5kg,$13,false
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,8,Fioprospero,Fioprospero,Fioprospero,1,Matthew Smith,Ashley Morgan,58kg,$31,false
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,9,Rush Attack,Rush Attack,Rush Attack,2,Nathan Doyle,Shannen Llewellyn (a-3),58kg,$23,false
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,11,Superfabulistic,Superfabulistic,Superfabulistic,7,Gai Waterhouse & Adrian Bott,Rachel King,57kg,$2.2,false
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,2,Azarax,Azarax,Azarax,8,Tom Charlton,Dylan Gibbons,60kg,SCR,true
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,4,Full Hao,Full Hao,Full Hao,9,Chris Waller,Nash Rawiller,59kg,SCR,true
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,10,Silver Tempest,Silver Tempest,Silver Tempest,12,Annabel & Rob Archibald,Tom Sherry,57kg,SCR,true
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,12,Deepwater Artist,Deepwater Artist,Deepwater Artist,5,Matthew Kelley,Coriah Keatings (a-3),56kg,SCR,true
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,1,Centenario,Centenario,Centenario,16,Gai Waterhouse & Adrian Bott,Zac Wadick (a-2),62kg,$12,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,2,Just Flying,Just Flying,Just Flying,15,Robert Heathcote,Coriah Keatings (a-3),62kg,$19,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,3,Majorian,Majorian,Majorian,2,Annabel & Rob Archibald,Braith Nock (a-1.5),60kg,$29,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,4,Subarctic,Subarctic,Subarctic,13,Matthew Smith,Tyler Schiller,60kg,$19,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,5,Black Babylon,Black Babylon,Black Babylon,4,Annabel & Rob Archibald,Tom Sherry,59.5kg,$16,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,6,Blacklist,Blacklist,Blacklist,5,Mack Griffith,Tim Clark,59kg,$10,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,8,So Suave,So Suave,So Suave,1,Chris Waller,James McDonald,58kg,$2.8,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,9,Natoya,Natoya,Natoya,10,John Sargent,Zac Lloyd,57.5kg,$9.5,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,11,Dolce Dior,Dolce Dior,Dolce Dior,7,Peter Snowden,Mitch Stapleford (a-3),55kg,$18,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,12,California Grass,California Grass,California Grass,12,John Thompson,Alysha Collett,54kg,$21,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,13,Michelangelo,Michelangelo,Michelangelo,3,Dean Mirfin,Rachel King,54kg,$12,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,15,Lupa Capitolina,Lupa Capitolina,Lupa Capitolina,8,Joseph Pride,Kerrin McEvoy,54kg,$5.5,false
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,7,Saint Emilion,Saint Emilion,Saint Emilion,9,Ciaron Maher,Nash Rawiller,58.5kg,SCR,true
