race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R3,Albury,3,1:55 pm Redi2hire Country Boosted Maiden Plate,1175m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",5,5,Haz Styles,Haz Styles,Haz Styles,5,Nadine Cameron,Damon Budler,$151,5.4
R3,Albury,3,1:55 pm Redi2hire Country Boosted Maiden Plate,1175m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",6,6,Hot Toddy,Hot Toddy,Hot Toddy,10,Doug Gorrel,Cory Parish,$26,6.1
R3,Albury,3,1:55 pm Redi2hire Country Boosted Maiden Plate,1175m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",7,7,Prince Sevres,Prince Sevres,Prince Sevres,11,Shilleagh Meyervale,Sairyn Fawke,$201,10.9
R3,Albury,3,1:55 pm Redi2hire Country Boosted Maiden Plate,1175m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",9,9,Four Esses,Four Esses,Four Esses,6,Paul McVicar,Cassidy Hill (a-3),$201,6
R3,Albury,3,1:55 pm Redi2hire Country Boosted Maiden Plate,1175m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",10,10,Impenetrable,Impenetrable,Impenetrable,3,Gino D'Altorio,Carly Frater,$201,4.8
R3,Albury,3,1:55 pm Redi2hire Country Boosted Maiden Plate,1175m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",11,11,Smokin'anniversary,Smokin'anniversary,Smokin'anniversary,4,Kym Davison,Brittany Button (a-1.5),$4.4,NA
R3,Albury,3,1:55 pm Redi2hire Country Boosted Maiden Plate,1175m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",12,12,Voynichese,Voynichese,Voynichese,9,Nick Olive,Coriah Keatings,$1.4,4
R4,Albury,4,2:35 pm Bur Real Estate Maiden Handicap,1400m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",2,2,Chief Of War,Chief Of War,Chief Of War,13,Heath Maclean,Damon Budler,$5.25,10.3
R4,Albury,4,2:35 pm Bur Real Estate Maiden Handicap,1400m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",4,4,Ashen Knight,Ashen Knight,Ashen Knight,19,Craig Weeding,Jake Duffy,$29,4
R4,Albury,4,2:35 pm Bur Real Estate Maiden Handicap,1400m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",5,5,Cooranga,Cooranga,Cooranga,7,Shaun Nolen,Brodie Loy,$5.5,8.3
