race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R3,Wyong,3,2:00 pm The Frenchsforest Probus Club Inc. Maiden Handicap,1350m,Maiden,Good 4,True,5,5,Satono Jasmine,Satono Jasmine,Satono Jasmine,5,Brad Widdup,Chad Schofield,$16,6,racenet
R3,Wyong,3,2:00 pm The Frenchsforest Probus Club Inc. Maiden Handicap,1350m,Maiden,Good 4,True,6,6,Apiarist,Apiarist,Apiarist,6,Ciaron Maher,Tim Clark,$12,6,racenet
R3,Wyong,3,2:00 pm The Frenchsforest Probus Club Inc. Maiden Handicap,1350m,Maiden,Good 4,True,9,9,Gong Girl,Gong Girl,Gong Girl,9,David Pfieffer,Rachel King,$3.5,4.1,racenet
R4,Wyong,4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,BM64,Good 4,True,1,1,Waku Waku,Waku Waku,Waku Waku,7,Annabel & Rob Archibald,Olivia Dalton (a-3),$3.4,6.1,racenet
R4,Wyong,4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,BM64,Good 4,True,2,2,Maquisa,Maquisa,Maquisa,3,Chris Waller,Siena Grima (a-2),$2.75,4.9,racenet
R4,Wyong,4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,BM64,Good 4,True,4,4,Rach,Rach,Rach,5,Chris Waller,Jason Collett,$4.6,3,racenet
R4,Wyong,4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,BM64,Good 4,True,5,5,Mane Character,Mane Character,Mane Character,1,Nacim Dilmi,Reece Jones,$10,6.7,racenet
R4,Wyong,4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,BM64,Good 4,True,6,6,Shoutaboutit,Shoutaboutit,Shoutaboutit,6,Kristen Buchanan,Jay Ford,$11,3.2,racenet
R4,Wyong,4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,BM64,Good 4,True,7,7,Grassburn,Grassburn,Grassburn,8,Matthew Robinson,Anna Roper,$19,5.3,racenet
R4,Wyong,4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,BM64,Good 4,True,8,8,Sunday Punch,Sunday Punch,Sunday Punch,10,Cheryl Grouse,Winona Costin,$91,6.1,racenet
R4,Wyong,4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,BM64,Good 4,True,9,9,Maggie Sparkles,Maggie Sparkles,Maggie Sparkles,2,Paul Kelly,Kacie Adams,$26,9.1,racenet
R4,Wyong,4,2:40 pm Mercure Kooindah Waters F&m Benchmark 64 Handicap,1350m,BM64,Good 4,True,11,11,Steely Girl,Steely Girl,Steely Girl,4,Neil Godbolt,Jeff Penza,$21,4.3,racenet
R5,Wyong,5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,BM64,Good 4,True,1,1,Skycatcher,Skycatcher,Skycatcher,2,Mick Price & Michael Kent Jnr,William Stanley (a-2),$2.6,2.7,racenet
R5,Wyong,5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,BM64,Good 4,True,2,2,Botanist,Botanist,Botanist,6,Chris Waller,Siena Grima (a-2),$5.5,1.2,racenet
R5,Wyong,5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,BM64,Good 4,True,3,3,A Pound Of Salt,A Pound Of Salt,A Pound Of Salt,3,Todd Howlett,Rory Hutchings,$23,8.3,racenet
R5,Wyong,5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,BM64,Good 4,True,4,4,Written Gold,Written Gold,Written Gold,9,Gerald Ryan & Sterling Alexiou,Tom Sherry,$5.5,3.3,racenet
R5,Wyong,5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,BM64,Good 4,True,6,6,Fierceness,Fierceness,Fierceness,1,Matthew Smith,Ashley Morgan,$10,5.5,racenet
R5,Wyong,5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,BM64,Good 4,True,8,8,Toomuchinformation,Toomuchinformation,Toomuchinformation,4,Lyndall Olson,Anna Roper,$6,3.2,racenet
R5,Wyong,5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,BM64,Good 4,True,9,9,Bonus Tempus,Bonus Tempus,Bonus Tempus,5,Brett Lazzarini,Jessica Taylor,$14,7.4,racenet
