race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Canterbury,1,1:25 pm E Security Group Handicap,1200m,Handicap,Heavy 8,+4m Entire,Overcast,5.8,"Going Stick- 8.0, Shear- 12.0;",2,2,Tenenbaum,Tenenbaum,Tenenbaum,2,Brad Widdup,Chad Schofield,$2.35,3.5,racenet
R1,Canterbury,1,1:25 pm E Security Group Handicap,1200m,Handicap,Heavy 8,+4m Entire,Overcast,5.8,"Going Stick- 8.0, Shear- 12.0;",4,4,Unhinged,Unhinged,Unhinged,1,Chris Waller,Nash Rawiller,$6,1.7,racenet
R1,Canterbury,1,1:25 pm E Security Group Handicap,1200m,Handicap,Heavy 8,+4m Entire,Overcast,5.8,"Going Stick- 8.0, Shear- 12.0;",6,6,Sprightly Affair,Sprightly Affair,Sprightly Affair,3,Nathan Doyle Jean,Van Overmeire,$3.9,1.5,racenet
R1,Canterbury,1,1:25 pm E Security Group Handicap,1200m,Handicap,Heavy 8,+4m Entire,Overcast,5.8,"Going Stick- 8.0, Shear- 12.0;",7,7,Yangzi River,Yangzi River,Yangzi River,5,Chris Waller,James McDonald,$6,4,racenet
R1,Canterbury,1,1:25 pm E Security Group Handicap,1200m,Handicap,Heavy 8,+4m Entire,Overcast,5.8,"Going Stick- 8.0, Shear- 12.0;",8,8,Leonessa,Leonessa,Leonessa,4,Chris Waller,Tommy Berry (a0.5),$7,4.7,racenet
R2,Canterbury,2,2:00 pm Headwater @ Vinery Stud Handicap,1250m,Handicap,Heavy 8,+4m Entire,Overcast,5.8,"Going Stick- 8.0, Shear- 12.0;",1,1,Defensemen,Defensemen,Defensemen,4,Chris Waller,Nash Rawiller,$5.75,6.7,racenet
R2,Canterbury,2,2:00 pm Headwater @ Vinery Stud Handicap,1250m,Handicap,Heavy 8,+4m Entire,Overcast,5.8,"Going Stick- 8.0, Shear- 12.0;",2,2,Cantero,Cantero,Cantero,2,"Michael, John & Wayne Hawkes",Tyler Schiller,$3,7,racenet
R2,Canterbury,2,2:00 pm Headwater @ Vinery Stud Handicap,1250m,Handicap,Heavy 8,+4m Entire,Overcast,5.8,"Going Stick- 8.0, Shear- 12.0;",3,3,Made In Italy,Made In Italy,Made In Italy,6,Matthew Smith,Kerrin McEvoy,$11,5,racenet
R2,Canterbury,2,2:00 pm Headwater @ Vinery Stud Handicap,1250m,Handicap,Heavy 8,+4m Entire,Overcast,5.8,"Going Stick- 8.0, Shear- 12.0;",10,10,Affari,Affari,Affari,1,Chris Waller,James McDonald (a1),$2.75,4.8,racenet
R2,Canterbury,2,2:00 pm Headwater @ Vinery Stud Handicap,1250m,Handicap,Heavy 8,+4m Entire,Overcast,5.8,"Going Stick- 8.0, Shear- 12.0;",12,12,Palm Tree,Palm Tree,Palm Tree,5,Chris Waller,Siena Grima (a-2),$19,NA,racenet
R2,Canterbury,2,2:00 pm Headwater @ Vinery Stud Handicap,1250m,Handicap,Heavy 8,+4m Entire,Overcast,5.8,"Going Stick- 8.0, Shear- 12.0;",13,13,Piedmont,Piedmont,Piedmont,3,Ciaron Maher,Regan Bayliss,$5.75,3,racenet
