race_no,race_name,distance,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
3,1:35 pm Muswellbrook Ford Class 1 & Maiden Plate,1600m,10,Vltava,Vltava,Vltava,9,Joel Wilkes,Luke Rolls,57.5kg,$12,false
3,1:35 pm Muswellbrook Ford Class 1 & Maiden Plate,1600m,11,Saintly Sands,Saintly Sands,Saintly Sands,11,Rodney Northam,Tyler Schiller,57kg,$26,false
3,1:35 pm Muswellbrook Ford Class 1 & Maiden Plate,1600m,12,Bird Whistle,Bird Whistle,Bird Whistle,13,Brett & Georgie Cavanough,Jason Collett,55.5kg,$2.3,false
3,1:35 pm Muswellbrook Ford Class 1 & Maiden Plate,1600m,13,Blue Eyed Brigid,Blue Eyed Brigid,Blue Eyed Brigid,3,Brad Widdup,Rachel King,55.5kg,$16,false
3,1:35 pm Muswellbrook Ford Class 1 & Maiden Plate,1600m,14,Pepperina,Pepperina,Pepperina,15,Brett & Georgie Cavanough,Alysha Collett,55.5kg,$61,false
3,1:35 pm Muswellbrook Ford Class 1 & Maiden Plate,1600m,15,Villa Castina,Villa Castina,Villa Castina,2,Annabel & Rob Archibald,Braith Nock,55.5kg,$26,false
3,1:35 pm Muswellbrook Ford Class 1 & Maiden Plate,1600m,9,Heapy's Legacy,Heapy's Legacy,Heapy's Legacy,14,Scott Singleton,Mikayla Weir,57.5kg,SCR,true
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,1,Mega Pixel,Mega Pixel,Mega Pixel,5,Kris Lees,Tom Sherry,60kg,$17,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,2,Dr Hook,Dr Hook,Dr Hook,7,Brett & Georgie Cavanough,Jason Collett,58kg,$3.1,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,3,Haras,Haras,Haras,16,Scott Singleton,Mikayla Weir,57.5kg,$16,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,4,Lord Elrond,Lord Elrond,Lord Elrond,6,Tom Charlton,Zac Lloyd,57.5kg,$6.5,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,5,Beneath The Rock,Beneath The Rock,Beneath The Rock,11,Kris Lees,Tyler Schiller,57kg,$26,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,7,Meteor Mist,Meteor Mist,Meteor Mist,18,Liam Ruddy,Adam Farragher,57kg,$151,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,8,Breakout,Breakout,Breakout,14,Annabel & Rob Archibald,Braith Nock,56.5kg,$71,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,9,Iminastate,Iminastate,Iminastate,8,Richard & Will Freedman,Chad Schofield,56.5kg,$10,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,12,Serious Jewel,Serious Jewel,Serious Jewel,10,Kris Lees,Dylan Gibbons,56.5kg,$35,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,13,Halcyon Belle,Halcyon Belle,Halcyon Belle,9,Nathan Doyle,Regan Bayliss,55kg,$9.5,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,14,Ole Olive,Ole Olive,Ole Olive,12,Kris Lees,William Stanley,55kg,$151,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,15,Tickelova,Tickelova,Tickelova,4,Kris Lees,Kerrin McEvoy,57kg,$26,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,16,Cormier,Cormier,Cormier,15,Paul Messara & Leah Gavranich,Aaron Bullock (a1),56.5kg,$3.5,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,17,Escalopecan,Escalopecan,Escalopecan,3,Kris Lees,Jay Ford,56.5kg,$46,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,18,Don't What Me,Don't What Me,Don't What Me,1,,Jason Coyle,58.5kg,$41,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,20,Don't Say,Don't Say,Don't Say,13,,Rodney Northam,56.5kg,$51,false
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,6,Legacy Prevailed,Legacy Prevailed,Legacy Prevailed,17,,Kristen Buchanan,57kg,SCR,true
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,10,Karavice,Karavice,Karavice,20,Annabel &,Rob Archibald,56.5kg,SCR,true
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,11,Mr Bohemian,Mr Bohemian,Mr Bohemian,19,Annabel &,Rob Archibald,56.5kg,SCR,true
4,2:10 pm Select Events 2&3yo Maiden Handicap,1100m,19,Last Tour,Last Tour,Last Tour,2,Brad Widdup,Leeshelle Small (a-1.5),58.5kg,SCR,true
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,1,Quasimoto,Quasimoto,Quasimoto,1,Clint Lundholm,Kody Nestor,61kg,$23,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,2,Hanuman,Hanuman,Hanuman,7,Mack Griffith,Dylan Gibbons,59kg,$10,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,3,Jagerschnitzel,Jagerschnitzel,Jagerschnitzel,4,Cameron Crockett,Ashley Morgan,58.5kg,$19,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,4,Almost Maybe,Almost Maybe,Almost Maybe,3,Melanie O'Gorman,Jason Collett,58kg,$26,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,5,City Gold Speed,City Gold Speed,City Gold Speed,16,Jeremy Gask,Reece Jones,58kg,$27,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,6,Sir Herridah,Sir Herridah,Sir Herridah,15,Scott Singleton,Mikayla Weir,58kg,$18,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,7,Jasira,Jasira,Jasira,6,Brett & Georgie Cavanough,Mitchell Bell,57.5kg,$7,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,9,Tiye,Tiye,Tiye,9,Clint Lundholm,Zoe Hunt,57.5kg,$101,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,10,Chains Of Love,Chains Of Love,Chains Of Love,19,Paul Messara & Leah Gavranich,Aaron Bullock (a0.5),57kg,$2.6,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,11,Starverna,Starverna,Starverna,18,Lou Mary,Braith Nock,56kg,$8,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,12,Josephine,Josephine,Josephine,2,Todd Howlett,Alysha Collett,55.5kg,$31,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,13,Kakoda,Kakoda,Kakoda,10,Scott Singleton,Tilly McCarroll (a-2),55.5kg,$20,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,14,Kermitisapet,Kermitisapet,Kermitisapet,11,Tim McIntosh,Daniel Northey (a0.5),55.5kg,$61,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,15,Miss Dee Reign,Miss Dee Reign,Miss Dee Reign,13,Jeremy Sylvester,Rory Hutchings (a0.5),55.5kg,$46,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,16,Rubelin,Rubelin,Rubelin,20,Brett Robb,Izzy Neale (a-1.5),55kg,$11,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,17,Golden Vader,Golden Vader,Golden Vader,12,Liam Ruddy,Adam Farragher,55.5kg,$51,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,18,Cosmic Bling,Cosmic Bling,Cosmic Bling,5,,Sue Grills,57kg,$51,false
