race_id,race_title,race_no,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R3,1:35 pm Muswellbrook Ford Class 1 & Maiden Plate,3,14,14,Pepperina,Pepperina,Pepperina,15,Brett & Georgie Cavanough,Alysha Collett,$61,9.3
R3,1:35 pm Muswellbrook Ford Class 1 & Maiden Plate,3,15,15,Villa Castina,Villa Castina,Villa Castina,2,Annabel & Rob Archibald,Braith Nock,$26,3.7
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,1,1,Mega Pixel,Mega Pixel,Mega Pixel,5,Kris Lees,Tom Sherry,$17,2.3
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,2,2,Dr Hook,Dr Hook,Dr Hook,7,Brett & Georgie Cavanough,Jason Collett,$3.1,4.6
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,3,3,Haras,Haras,Haras,16,Scott Singleton,Mikayla Weir,$16,4.7
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,4,4,Lord Elrond,Lord Elrond,Lord Elrond,6,Tom Charlton,Zac Lloyd,$6.5,5.7
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,5,5,Beneath The Rock,Beneath The Rock,Beneath The Rock,11,Kris Lees,Tyler Schiller,$26,NA
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,7,7,Meteor Mist,Meteor Mist,Meteor Mist,18,Liam Ruddy,Adam Farragher,$151,NA
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,8,8,Breakout,Breakout,Breakout,14,Annabel & Rob Archibald,Braith Nock,$71,NA
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,9,9,Iminastate,Iminastate,Iminastate,8,Richard & Will Freedman,Chad Schofield,$10,NA
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,12,12,Serious Jewel,Serious Jewel,Serious Jewel,10,Kris Lees,Dylan Gibbons,$35,NA
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,13,13,Halcyon Belle,Halcyon Belle,Halcyon Belle,9,Nathan Doyle,Regan Bayliss,$9.5,NA
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,14,14,Ole Olive,Ole Olive,Ole Olive,12,Kris Lees,William Stanley,$151,NA
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,15,15,Tickelova,Tickelova,Tickelova,4,Kris Lees,Kerrin McEvoy,$26,NA
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,16,16,Cormier,Cormier,Cormier,15,Paul Messara & Leah Gavranich,Aaron Bullock (a1),$3.5,NA
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,17,17,Escalopecan,Escalopecan,Escalopecan,3,Kris Lees,Jay Ford,$46,NA
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,18,18,Don't What Me,Don't What Me,Don't What Me,1,,Jason Coyle,$41,3.7
R4,2:10 pm Select Events 2&3yo Maiden Handicap,4,20,20,Don't Say,Don't Say,Don't Say,13,,Rodney Northam,$51,3.9
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,1,1,Quasimoto,Quasimoto,Quasimoto,1,Clint Lundholm,Kody Nestor,$23,5.9
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,2,2,Hanuman,Hanuman,Hanuman,7,Mack Griffith,Dylan Gibbons,$10,2.6
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,3,3,Jagerschnitzel,Jagerschnitzel,Jagerschnitzel,4,Cameron Crockett,Ashley Morgan,$19,2.1
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,4,4,Almost Maybe,Almost Maybe,Almost Maybe,3,Melanie O'Gorman,Jason Collett,$26,5.6
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,5,5,City Gold Speed,City Gold Speed,City Gold Speed,16,Jeremy Gask,Reece Jones,$27,2.6
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,6,6,Sir Herridah,Sir Herridah,Sir Herridah,15,Scott Singleton,Mikayla Weir,$18,4.1
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,7,7,Jasira,Jasira,Jasira,6,Brett & Georgie Cavanough,Mitchell Bell,$7,2.9
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,9,9,Tiye,Tiye,Tiye,9,Clint Lundholm,Zoe Hunt,$101,8
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,10,10,Chains Of Love,Chains Of Love,Chains Of Love,19,Paul Messara & Leah Gavranich,Aaron Bullock (a0.5),$2.6,3
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,11,11,Starverna,Starverna,Starverna,18,Lou Mary,Braith Nock,$8,9
