assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,wet_body_type,wet_feet,notes,total_positive,total_negative,net,updated_at
R5-3,R5,3:00 pm Shorty Cribb Aberdeen Cup Benchmark 82 Handicap,3,Ollie's Secret,2,Jan Bowen,Mikayla Weir,$14,,,,,,,0,0,0,
R5-4,R5,3:00 pm Shorty Cribb Aberdeen Cup Benchmark 82 Handicap,4,Play My Song,8,Rodney Northam,Reece Jones,$19,,,,,,,0,0,0,
R5-5,R5,3:00 pm Shorty Cribb Aberdeen Cup Benchmark 82 Handicap,5,Hellcibell,3,Brett & Georgie Cavanough,Mitchell Bell,$8,,,,,,,0,0,0,
R5-6,R5,3:00 pm Shorty Cribb Aberdeen Cup Benchmark 82 Handicap,6,King Larry,4,Wayne Wilkes Shannen,Llewellyn A,$4.8,,,,,,,0,0,0,
R5-7,R5,3:00 pm Shorty Cribb Aberdeen Cup Benchmark 82 Handicap,7,Crimson Bonnet,7,Sue Grills,Jenny Duggan,$16,,,,,,,0,0,0,
R5-9,R5,3:00 pm Shorty Cribb Aberdeen Cup Benchmark 82 Handicap,9,Scotland,1,Karen Owen,Madeline Owen,$71,,,,,,,0,0,0,
R5-10,R5,3:00 pm Shorty Cribb Aberdeen Cup Benchmark 82 Handicap,10,Eighty Eight Stars,6,Sue Grills Liberty,Smyth A2 (a-2),$13,,,,,,,0,0,0,
R6-2,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,2,Athena's Treasure,4,Todd Howlett,Louise Day,$2.55,,,,,,,0,0,0,
R6-3,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,3,Manage The Cycle,6,Jeremy Gask,Izzy Neale (a-1.5),$29,,,,,,,0,0,0,
R6-4,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,4,Olufsen,2,Lea Selby Gabrielle,Johnston A2 (a-2),$126,,,,,,,0,0,0,
R6-5,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,5,Crook,8,Clint Lundholm,Zoe Hunt,$19,,,,,,,0,0,0,
R6-6,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,6,It Stays In Vegas,10,Scott Singleton,Mikayla Weir,$15,,,,,,,0,0,0,
R6-7,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,7,Detain,13,Brett & Georgie Cavanough,Nick Palmer (a-2),$15,,,,,,,0,0,0,
R6-8,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,8,Solar Blast,3,Craig Clegg,Aaron Bullock,$6,,,,,,,0,0,0,
R6-9,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,9,To Be Frank,5,Sue Grills,Ashley Morgan,$41,,,,,,,0,0,0,
R6-11,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,11,Shoutaboutit,14,Kristen Buchanan Shannen,Llewellyn A,$16,,,,,,,0,0,0,
R6-12,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,12,Cupid's Kiss,9,Jeremy Sylvester Liberty,Smyth A2 (a-2),$20,,,,,,,0,0,0,
R6-14,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,14,Sapphire Kiss,11,Wayne Seelin,Grant Buckley,$23,,,,,,,0,0,0,
R6-15,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,15,Manwe,12,Rebecca Dunn,Chad Lever,$41,,,,,,,0,0,0,
R6-17,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,17,Difensivo,1,Nacim Dilmi,Reece Jones,$8,,,,,,,0,0,0,
R6-18,R6,3:45 pm Snowden Racing Benchmark 66 Handicap,18,Withstand,7,Jan Bowen,Anna Roper,$46,,,,,,,0,0,0,
R7-1,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,1,Whateley,5,Todd Howlett,Rory Hutchings,$5.5,,,,,,,0,0,0,
R7-2,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,2,Pontevedra,16,Paul Messara & Leah Gavranich,Aaron Bullock,$5.25,,,,,,,0,0,0,
R7-3,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,3,Shoot'em Up,10,Ben Lees,Christian Reith,$71,,,,,,,0,0,0,
R7-4,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,4,Smart Buy,9,Rodney Northam,Reece Jones,$8,,,,,,,0,0,0,
R7-5,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,5,Arapawa,14,Brett & Georgie Cavanough,Nick Palmer (a-2),$5.5,,,,,,,0,0,0,
R7-6,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,6,Brutal Elegance,13,Rodney Northam,Grant Buckley,$41,,,,,,,0,0,0,
R7-7,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,7,Dunstall The Gun,11,Brett & Georgie Cavanough,Mitchell Bell,$5.5,,,,,,,0,0,0,
R7-8,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,8,Yacht Girl,3,Scott Singleton,Mikayla Weir,$10,,,,,,,0,0,0,
R7-9,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,9,Parfumier,4,Darren Treacy,Kacie Adams,$11,,,,,,,0,0,0,
R7-11,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,11,Caledonian,12,Karen Owen,Madeline Owen,$16,,,,,,,0,0,0,
R7-12,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,12,Sunday Punch,2,Cheryl Grouse,Anna Roper,$126,,,,,,,0,0,0,
R7-13,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,13,Maggie Sparkles,1,Paul Kelly,Jenny Duggan,$31,,,,,,,0,0,0,
R7-16,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,16,Alarthill,7,Jan Bowen,Louise Day,$101,,,,,,,0,0,0,
R7-17,R7,4:20 pm Pursehouse Rural Country Boosted Class 2 Handicap,17,The Mystery Guy,6,Jeremy Sylvester Shannen,Llewellyn A,$151,,,,,,,0,0,0,
