race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Warwick Farm,1,12:50 pm Schweppes Handicap,1100m,Handicap,Heavy 8,+3m Entire,1,1,Demerzel,Demerzel,Demerzel,5,Gai Waterhouse & Adrian Bott,Rachel King,$9,NA
R1,Warwick Farm,1,12:50 pm Schweppes Handicap,1100m,Handicap,Heavy 8,+3m Entire,2,2,Express,Express,Express,8,Chris Waller,Nash Rawiller,$7.5,NA
R1,Warwick Farm,1,12:50 pm Schweppes Handicap,1100m,Handicap,Heavy 8,+3m Entire,3,3,Hatsumomo,Hatsumomo,Hatsumomo,1,Joseph Pride,Kerrin McEvoy,$18,NA
R1,Warwick Farm,1,12:50 pm Schweppes Handicap,1100m,Handicap,Heavy 8,+3m Entire,4,4,Infinite Sky,Infinite Sky,Infinite Sky,6,Chris Waller,Sam Clipperton,$23,NA
R1,Warwick Farm,1,12:50 pm Schweppes Handicap,1100m,Handicap,Heavy 8,+3m Entire,5,5,Kinetic Kiss,Kinetic Kiss,Kinetic Kiss,4,Gai Waterhouse & Adrian Bott,Tim Clark,$4.6,NA
R1,Warwick Farm,1,12:50 pm Schweppes Handicap,1100m,Handicap,Heavy 8,+3m Entire,6,6,Krasina,Krasina,Krasina,7,David Payne,Ashley Morgan,$3.9,8.2
R1,Warwick Farm,1,12:50 pm Schweppes Handicap,1100m,Handicap,Heavy 8,+3m Entire,7,7,Perla Iberica,Perla Iberica,Perla Iberica,3,Edward Cummings,Jay Ford,$81,NA
R1,Warwick Farm,1,12:50 pm Schweppes Handicap,1100m,Handicap,Heavy 8,+3m Entire,8,8,Profit Calling,Profit Calling,Profit Calling,9,Geoff Allendorf,Andrew Calder,$23,NA
R1,Warwick Farm,1,12:50 pm Schweppes Handicap,1100m,Handicap,Heavy 8,+3m Entire,10,10,Coral,Coral,Coral,2,Chris Waller,Tommy Berry,$11,2
R1,Warwick Farm,1,12:50 pm Schweppes Handicap,1100m,Handicap,Heavy 8,+3m Entire,11,11,Excelluna,Excelluna,Excelluna,11,Richard & Will Freedman,Jason Collett,$6.5,4
R1,Warwick Farm,1,12:50 pm Schweppes Handicap,1100m,Handicap,Heavy 8,+3m Entire,12,12,Helldeeva,Helldeeva,Helldeeva,10,Peter Snowden,Tom Sherry,$10,6.3
R2,Warwick Farm,2,1:25 pm Drinkwise Plate,1300m,Maiden,Heavy 8,+3m Entire,1,1,Beneath The Rock,Beneath The Rock,Beneath The Rock,1,Kris Lees,Tyler Schiller,$12,8
R2,Warwick Farm,2,1:25 pm Drinkwise Plate,1300m,Maiden,Heavy 8,+3m Entire,2,2,Claudel,Claudel,Claudel,3,Chris Waller,Kerrin McEvoy,$3.2,NA
R2,Warwick Farm,2,1:25 pm Drinkwise Plate,1300m,Maiden,Heavy 8,+3m Entire,3,3,Extra Special,Extra Special,Extra Special,2,Nacim Dilmi,Reece Jones,$15,9
