race_id,track,race_no,race_title,distance,grade,going,rail,weather,penetrometer,track_information,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Warwick Farm,1,1:50 pm Tab Plate,1200m,Maiden,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,1,1,Double Vision,Double Vision,Double Vision,9,Gai Waterhouse & Adrian Bott,Rachel King,$6,1.2,racenet
R1,Warwick Farm,1,1:50 pm Tab Plate,1200m,Maiden,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,2,2,Love Story,Love Story,Love Story,5,Gai Waterhouse & Adrian Bott,Adam Hyeronimus,$3,NA,racenet
R1,Warwick Farm,1,1:50 pm Tab Plate,1200m,Maiden,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,3,3,Moon Flash,Moon Flash,Moon Flash,2,David Payne,Ashley Morgan,$81,4.7,racenet
R1,Warwick Farm,1,1:50 pm Tab Plate,1200m,Maiden,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,4,4,Chuchichaschtli,Chuchichaschtli,Chuchichaschtli,4,"Michael, John & Wayne Hawkes",Tyler Schiller,$7.5,NA,racenet
R1,Warwick Farm,1,1:50 pm Tab Plate,1200m,Maiden,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,5,5,,,,6,Chris Waller,Tommy Berry,$20,,racenet
R1,Warwick Farm,1,1:50 pm Tab Plate,1200m,Maiden,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,6,6,Movie Star,Movie Star,Movie Star,3,Chris Waller,James McDonald,$14,5.7,racenet
R1,Warwick Farm,1,1:50 pm Tab Plate,1200m,Maiden,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,7,7,Mystical,Mystical,Mystical,1,Michael Freedman,Tim Clark,$6.5,8.5,racenet
R1,Warwick Farm,1,1:50 pm Tab Plate,1200m,Maiden,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,8,8,Pearl Of Dubai,Pearl Of Dubai,Pearl Of Dubai,10,Peter Snowden,Kerrin McEvoy,$6.5,7,racenet
R1,Warwick Farm,1,1:50 pm Tab Plate,1200m,Maiden,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,9,9,Shahaameh,Shahaameh,Shahaameh,8,Richard & Will Freedman,Chad Schofield,$7.5,NA,racenet
R1,Warwick Farm,1,1:50 pm Tab Plate,1200m,Maiden,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,10,10,Wave Blaster,Wave Blaster,Wave Blaster,7,Tracey Bartley,Alysha Collett,$34,5.3,racenet
R2,Warwick Farm,2,2:25 pm Exceedance @ Vinery Stud Handicap,1200m,Handicap,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,1,1,De Armas,De Armas,De Armas,10,Chris Waller,Kerrin McEvoy,$34,NA,racenet
R2,Warwick Farm,2,2:25 pm Exceedance @ Vinery Stud Handicap,1200m,Handicap,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,2,2,Phillip Island,Phillip Island,Phillip Island,7,Mick Price & Michael Kent Jnr,Tommy Berry,$15,3,racenet
R2,Warwick Farm,2,2:25 pm Exceedance @ Vinery Stud Handicap,1200m,Handicap,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,3,3,Blessed Eagle,Blessed Eagle,Blessed Eagle,11,Gai Waterhouse & Adrian Bott,Chad Schofield,$6.5,1,racenet
R2,Warwick Farm,2,2:25 pm Exceedance @ Vinery Stud Handicap,1200m,Handicap,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,4,4,Sky Deck,Sky Deck,Sky Deck,9,Peter Snowden,Tom Sherry,$13,3.7,racenet
R2,Warwick Farm,2,2:25 pm Exceedance @ Vinery Stud Handicap,1200m,Handicap,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,5,5,Satin Summer,Satin Summer,Satin Summer,2,Michael Freedman,Rachel King,$23,6.3,racenet
R2,Warwick Farm,2,2:25 pm Exceedance @ Vinery Stud Handicap,1200m,Handicap,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,6,6,Peyton,Peyton,Peyton,1,John O'Shea & Tom Charlton,Zac Lloyd,$2.25,3.9,racenet
R2,Warwick Farm,2,2:25 pm Exceedance @ Vinery Stud Handicap,1200m,Handicap,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,7,7,Reachin' Out,Reachin' Out,Reachin' Out,3,Gai Waterhouse & Adrian Bott,Tim Clark,$7.5,5.3,racenet
R2,Warwick Farm,2,2:25 pm Exceedance @ Vinery Stud Handicap,1200m,Handicap,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,8,8,Consulate,Consulate,Consulate,6,Chris Waller,James McDonald,$14,5.3,racenet
R2,Warwick Farm,2,2:25 pm Exceedance @ Vinery Stud Handicap,1200m,Handicap,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,9,9,The Thorncaster,The Thorncaster,The Thorncaster,8,Ciaron Maher,Sam Clipperton,$19,4.1,racenet
R2,Warwick Farm,2,2:25 pm Exceedance @ Vinery Stud Handicap,1200m,Handicap,Good 4,"+5m 1000m to Winning Post , +3m Remainder",,,,10,10,Harrybegood,Harrybegood,Harrybegood,4,Kris Lees,Jason Collett,$11,3.6,racenet
