race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
3,1:20 pm Tradies Day August 14 Maiden Handicap,1:20 pm,1400m,Taree,Maiden,Heavy 10,True,11,Czech Her Out,Czech Her Out,Czech Her Out,8,Tracey Bartley,Shannen Llewellyn,55.5kg,$7,false
3,1:20 pm Tradies Day August 14 Maiden Handicap,1:20 pm,1400m,Taree,Maiden,Heavy 10,True,13,Bollente Bella,Bollente Bella,Bollente Bella,11,Kris Lees,Andrew Gibbons,55kg,$3.25,false
3,1:20 pm Tradies Day August 14 Maiden Handicap,1:20 pm,1400m,Taree,Maiden,Heavy 10,True,14,The Big Ticket,The Big Ticket,The Big Ticket,2,Tom Higgins,Leanne Boyd (a-2),55kg,$12,false
3,1:20 pm Tradies Day August 14 Maiden Handicap,1:20 pm,1400m,Taree,Maiden,Heavy 10,True,7,Been There,Been There,Been There,9,,Damien Lane,56.5kg,SCR,true
3,1:20 pm Tradies Day August 14 Maiden Handicap,1:20 pm,1400m,Taree,Maiden,Heavy 10,True,8,Dancing Tilda,Dancing Tilda,Dancing Tilda,17,Aiden,St Vincent,56.5kg,SCR,true
3,1:20 pm Tradies Day August 14 Maiden Handicap,1:20 pm,1400m,Taree,Maiden,Heavy 10,True,9,Kowloon Magnate,Kowloon Magnate,Kowloon Magnate,12,Annabel & Rob Archibald,Mollie Fitzgerald,56.5kg,SCR,true
3,1:20 pm Tradies Day August 14 Maiden Handicap,1:20 pm,1400m,Taree,Maiden,Heavy 10,True,10,Oakfield Mars,Oakfield Mars,Oakfield Mars,14,,Damien Lane,56kg,SCR,true
3,1:20 pm Tradies Day August 14 Maiden Handicap,1:20 pm,1400m,Taree,Maiden,Heavy 10,True,12,Miss Bugatti,Miss Bugatti,Miss Bugatti,7,Grant Jobson,Matthew Bennett (a0.5),55.5kg,SCR,true
3,1:20 pm Tradies Day August 14 Maiden Handicap,1:20 pm,1400m,Taree,Maiden,Heavy 10,True,15,Cook My Goose,Cook My Goose,Cook My Goose,1,,Sally Taylor,55.5kg,SCR,true
3,1:20 pm Tradies Day August 14 Maiden Handicap,1:20 pm,1400m,Taree,Maiden,Heavy 10,True,16,Nikody's Casper,Nikody's Casper,Nikody's Casper,16,,Peter Cheers,55kg,SCR,true
3,1:20 pm Tradies Day August 14 Maiden Handicap,1:20 pm,1400m,Taree,Maiden,Heavy 10,True,17,Juviance,Juviance,Juviance,13,Alicia,Willick-mc Donald,55kg,SCR,true
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,3,Send A Telegram,Send A Telegram,Send A Telegram,18,John Sprague,Aaron Bullock,59kg,$8.5,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,5,Walk Like A Man,Walk Like A Man,Walk Like A Man,13,Rebecca Dunn,Matthew Bennett,59kg,$19,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,6,Microgravity,Microgravity,Microgravity,14,Jason Deamer,Ben Looker,57.5kg,$2.45,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,8,Classic Two,Classic Two,Classic Two,6,Rodney Bailey,Jessica Taylor,56.5kg,$5.25,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,9,Clever Illusion,Clever Illusion,Clever Illusion,9,Peter Cheers,Raymond Spokes,56.5kg,$201,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,10,Titan Of Fury,Titan Of Fury,Titan Of Fury,12,Paul Perry,Donovan Dillon,56.5kg,$5,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,11,Bridego,Bridego,Bridego,3,Joel Wilkes,Shannen Llewellyn,55kg,$6.5,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,12,Juviance,Juviance,Juviance,15,Alicia Willick-mc Donald,Stephen Cummins,55kg,$201,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,13,Nikody's Casper,Nikody's Casper,Nikody's Casper,1,Peter Cheers,Liberty Smyth (a-2),55kg,$51,false
