race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,2,Jenni The Jet,Jenni The Jet,Jenni The Jet,23,Matthew Dale,Braith Nock (a-1.5),57.5kg,$21,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,4,Campari Twist,Campari Twist,Campari Twist,16,Patrick Cleave,Ashley Morgan,57kg,$35,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,5,Cambar,Cambar,Cambar,15,Gary Colvin,Regan Bayliss,57kg,$14,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,6,Jackpot Star,Jackpot Star,Jackpot Star,1,Matthew Dale,Dylan Gibbons,57kg,$71,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,7,Neeson,Neeson,Neeson,11,Danielle Seib,Shaun Guymer,57kg,$11,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,8,Speedy Henry,Speedy Henry,Speedy Henry,8,Rodney Northam,Adam Farragher,57kg,$13,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,9,Wayburn,Wayburn,Wayburn,9,Matthew Dunn,Nash Rawiller (a1),57kg,$5,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,10,Buenos,Buenos,Buenos,12,Keith Dryden & Libby Snowden,Andrew Adkins,56.5kg,$27,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,11,Bullion Hunter,Bullion Hunter,Bullion Hunter,3,Rodney Northam,Reece Jones,56.5kg,$12,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,12,Danxia,Danxia,Danxia,2,Colt Prosser,Luke Rolls,56.5kg,$41,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,15,She Within,She Within,She Within,22,Danny Williams,Tyler Schiller,56kg,$14,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,16,Girrawheen,Girrawheen,Girrawheen,14,Peter Bloomfield,Anna Roper (a-2),55kg,$91,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,18,Judith's Revenge,Judith's Revenge,Judith's Revenge,10,Tim Donnelly,Mathew Cahill,54.5kg,$14,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,19,Bring Me Saki,Bring Me Saki,Bring Me Saki,7,Stephen & Jordan Lee,Alysha Collett,56kg,$35,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,21,Bolo Miss,Bolo Miss,Bolo Miss,21,Michael Lynch,Mollie Fitzgerald (a-3),54kg,$81,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,22,Molteuno,Molteuno,Molteuno,13,Tash Burleigh,Adrian Layt,54kg,$71,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,23,Cosmolicious,Cosmolicious,Cosmolicious,6,Cheryl Grouse,Siena Grima (a-3),54kg,$91,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,24,Stormbringer,Stormbringer,Stormbringer,5,Matthew Dale,Dylan Gibbons,54.5kg,$13,false
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,3,Sargeant Stan,Sargeant Stan,Sargeant Stan,18,Ron Stubbs,Jason Lyon,57.5kg,SCR,true
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,13,Ischyros,Ischyros,Ischyros,17,,Scott Collings,56.5kg,SCR,true
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,14,Nirmata,Nirmata,Nirmata,24,Craig Martin,Siena Grima (a-3),56.5kg,SCR,true
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,17,Andale Andale,Andale Andale,Andale Andale,19,,Lyle Chandler,54.5kg,SCR,true
3,12:10 pm Tab Highway Handicap,12:10 pm,1200m,Randwick,Handicap,Soft 7,True,20,Mofeed,Mofeed,Mofeed,20,Stephen &,Jordan Lee,55.5kg,SCR,true
4,12:45 pm Sporting Chance Cancer Foundation Handicap,12:45 pm,2400m,Randwick,Handicap,Soft 7,True,1,Thrice,Thrice,Thrice,8,Gai Waterhouse & Adrian Bott,Zac Wadick (a-2),61.5kg,$4.8,false
4,12:45 pm Sporting Chance Cancer Foundation Handicap,12:45 pm,2400m,Randwick,Handicap,Soft 7,True,2,Casual Connection,Casual Connection,Casual Connection,9,John Sargent,Siena Grima (a-3),60.5kg,$13,false
4,12:45 pm Sporting Chance Cancer Foundation Handicap,12:45 pm,2400m,Randwick,Handicap,Soft 7,True,3,Cap Saint Martin,Cap Saint Martin,Cap Saint Martin,2,Annabel & Rob Archibald,Nash Rawiller,59.5kg,$3.5,false
4,12:45 pm Sporting Chance Cancer Foundation Handicap,12:45 pm,2400m,Randwick,Handicap,Soft 7,True,5,Thebudgiesmugla,Thebudgiesmugla,Thebudgiesmugla,7,Bjorn Baker,Joshua Parr,59.5kg,$3.1,false
4,12:45 pm Sporting Chance Cancer Foundation Handicap,12:45 pm,2400m,Randwick,Handicap,Soft 7,True,7,Hutchence,Hutchence,Hutchence,1,Chris Waller,Sam Clipperton,56.5kg,$27,false
4,12:45 pm Sporting Chance Cancer Foundation Handicap,12:45 pm,2400m,Randwick,Handicap,Soft 7,True,8,Unavoidable,Unavoidable,Unavoidable,3,Matthew Smith,Alysha Collett,55kg,$18,false
4,12:45 pm Sporting Chance Cancer Foundation Handicap,12:45 pm,2400m,Randwick,Handicap,Soft 7,True,9,Saint Emilion,Saint Emilion,Saint Emilion,6,Ciaron Maher,Dylan Gibbons,54.5kg,$16,false
4,12:45 pm Sporting Chance Cancer Foundation Handicap,12:45 pm,2400m,Randwick,Handicap,Soft 7,True,10,De Louviere,De Louviere,De Louviere,4,Matthew Smith,Kerrin McEvoy,53kg,$7.5,false
4,12:45 pm Sporting Chance Cancer Foundation Handicap,12:45 pm,2400m,Randwick,Handicap,Soft 7,True,4,King Of The Sea,King Of The Sea,King Of The Sea,5,Ciaron Maher,Adam Farragher,59.5kg,SCR,true
4,12:45 pm Sporting Chance Cancer Foundation Handicap,12:45 pm,2400m,Randwick,Handicap,Soft 7,True,6,Kurakka,Kurakka,Kurakka,10,Ciaron Maher,Zac Lloyd,57kg,SCR,true
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,1,Cosmic Avenger,Cosmic Avenger,Cosmic Avenger,14,John Sargent,Dylan Gibbons,59kg,$12,false
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,3,Boomeroo,Boomeroo,Boomeroo,10,Anthony & Sam Freedman,Sam Clipperton,58kg,$11,false
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,4,Agent Zero,Agent Zero,Agent Zero,1,Ciaron Maher,Nash Rawiller,58kg,$6.5,false
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,7,Salt Spray,Salt Spray,Salt Spray,13,Chris Waller,Kerrin McEvoy,55.5kg,$9,false
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,8,Sheeza Diva,Sheeza Diva,Sheeza Diva,8,Mitchell &,Desiree Kearney,55kg,$35,false
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,9,Eynesbury,Eynesbury,Eynesbury,2,Chris Waller,Zac Lloyd,54.5kg,$8,false
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,10,Donatello,Donatello,Donatello,11,Chris Waller,Tyler Schiller,54kg,$4.2,false
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,11,Angel City,Angel City,Angel City,6,Matthew Smith,Pierre Boudvillain,54kg,$16,false
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,12,Kindamagic,Kindamagic,Kindamagic,7,Mitchell Maloney-stone,Reece Jones,52.5kg,$51,false
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,13,Sunsprite,Sunsprite,Sunsprite,12,Annabel & Rob Archibald,Braith Nock (a-1.5),52.5kg,$4.6,false
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,14,Blue Eyed Brigid,Blue Eyed Brigid,Blue Eyed Brigid,15,Brad Widdup,Alysha Collett,52kg,$21,false
5,1:20 pm Pf Civil Handicap,1:20 pm,1800m,Randwick,Handicap,Soft 7,True,2,Bird Whistle,Bird Whistle,Bird Whistle,3,Brett & Georgie Cavanough,Mollie Fitzgerald (a-3),58.5kg,SCR,true
