race_id,race_title,race_no,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,4,12,12,Another Mission,Another Mission,Another Mission,6,Peter Green,Keagan Latham (a0.5),$19,5
R4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,4,14,14,Populism,Populism,Populism,11,Kim Waugh,Ashley Morgan,$11,5.3
R4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,4,18,18,Kuwait,Kuwait,Kuwait,7,Daniel Robinson,Jay Ford,$51,3.1
R4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,4,19,19,Seven Wonders (HT) 5 Paul Perry William Stanley A1.,Seven Wonders (HT) 5 Paul Perry William Stanley A1.,Seven Wonders (HT) 5 Paul Perry William Stanley A1.,5,,(a-1.5),$13,4.6
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,1,1,I've Bean Tryin',I've Bean Tryin',I've Bean Tryin',17,Matthew Kelley,Coriah Keatings (a-3),$19,7.5
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,4,4,Jacob's Ladder,Jacob's Ladder,Jacob's Ladder,11,John Thompson,Kerrin McEvoy,$9,7
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,6,6,Rosa Incanta,Rosa Incanta,Rosa Incanta,1,Gai Waterhouse & Adrian Bott,Dylan Gibbons,$7,4.7
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,7,7,Inception,Inception,Inception,10,Nathan Doyle,Tom Sherry,$19,3.2
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,8,8,Maquisa,Maquisa,Maquisa,12,Chris Waller,Lee Magorrian,$9,4.9
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,9,9,Miss Capitale,Miss Capitale,Miss Capitale,13,Matthew Smith,Ashley Morgan,$7,2.3
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,10,10,Ocean Tsunami,Ocean Tsunami,Ocean Tsunami,15,Scott Singleton Leeshelle,Small A3 (a-3),$8,2.5
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,11,11,Ready And Lucky,Ready And Lucky,Ready And Lucky,7,Lou Mary,Christian Reith,$13,4.7
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,12,12,Rach,Rach,Rach,4,Chris Waller,Zac Lloyd,$5,3
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,14,14,Just Like Tilda,Just Like Tilda,Just Like Tilda,8,Bruce Cross,Andrew Calder,$51,6.9
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,16,16,Turning Circle,Turning Circle,Turning Circle,9,Nathan Doyle,Jay Ford,$31,4.8
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,17,17,Dreymon d 14 Alan D Smith William Stanley A1.,Dreymon d 14 Alan D Smith William Stanley A1.,Dreymon d 14 Alan D Smith William Stanley A1.,5,,(a-1.5),$51,6.9
R5,3:05 pm Sharp Office Benchmark 64 Handicap,5,18,18,Sister Daae,Sister Daae,Sister Daae,2,Chris Waller,Rory Hutchings,$5.5,6.4
